Jules Verne - André Laurie	Jules Verne & André Laurie
Néhány napig még csak éltette szivét az az öröm, hogy megmentőjének az életét ő is megmentette... de aztán újra a régi gondolatok gyötörték.	Tất nhiên, đó là phần thưởng cao nhất, mà chú chỉ có thể ước mơ, khi chú quyết định bước vào cuộc đời khổ cực của người đánh cá.
Sokat törte a fejét azon, hogy mi módon könnyíthetne a család gondjain.	Còn gì có thể an ủi chú và củng cố sức mạnh tinh thần của chú hơn thế nữa?
Előbb tanácsot akart kérni Malárius mestertől.	Chú có quyền gì làm cho gia đình thêm vất vả nữa?
Elmondta neki őszintén, hogy mi a szándéka: Bergenbe megy és beáll matróznak.	Chẳng lẽ chú lại không có trách nhiệm làm mọi cách để giúp đỡ gia đình hay sao?
- Helyén van a szíved, fiam, de ez a te szándékod még sem helyes.	Hay là giúp đỡ gia đình bằng cách nào khác nữa?
Azt persze nem mondta meg Eriknek a jó Malárius, hogy ő már tudatta stockholmi derék barátjával, a doktorral, hogy mi történt Noroëban.	Bởi vậy thầy giáo không lấy gì làm ngạc nhiên khi sang ngày thứ tư thầy đã nhận được trả lời của bác sĩ.
Sietett vele Hersebomékhoz, s felolvasta nekik.	Đây là những gì đã viết trong thư:
A levél így hangzott;	"Xtôckhôm, ngày 17 tháng Ba
Stockholm, márczius 17.	MALJARIUS thân mến của tôi!
Boldoggá és büszkévé tesz annak a tudata, hogy Erik ezúttal is, mint mindig, derekasan viselte magát.	Anh sẽ nhận được trong thư này một tờ ngân phiếu 500 curon mà tôi muốn nhờ anh thay mặt tôi trao cho Êrik.
Mondd meg neki, hogy vegyen Bergenben egy szép halászbárkát, ha a pénz nem volna elég, tudasson engem haladéktalanul.	Tôi muốn cháu đặt tên cho cái thuyền ấy là "Cintia" và tặng nó cho bác Hecsêbom để tỏ tấm lòng của đứa con đối với bố.
Házam minden időben nyitva áll Erik előtt, ha kedve van tanulmányait folytatni.	Chỗ dành cho cháu trước đây trong ngôi nhà của tôi vẫn để nguyên đó.
Sokáig hallgattak... Kiki magába mélyedt... Erik lelke újra álmokat szőtt... Ha újra tanul­hatna... de nem mert szólani, hogy apját valahogy meg ne szomorítsa.	Nhưng làm sao bác lại có thể từ chối một chiếc thuyền mang tên "Cintia" để ghi nhớ sự xuất hiện của Êrik trong gia đình của bác?
- Erik - mondá lágy, komoly hangon - neked nem szabad visszautasítanod a doktor úr ajánla­tát!...	- Anh Êrik - cô bé nói, giọng âu yếm và nghiêm trang - anh không thể trả lời từ chối bác sĩ, vì như thế là chẳng những tỏ ra vô ơn, mà lại còn tự bó mình!
Nem teheted, mert háládatlanság volna tőled ennyi jótéteménnyel szemben; vétkeznél magad ellen is.	Vị tri của anh là đứng giữa các nhà bác học, chứ không phải là giữa những người dân chài!
- Vandának igaza van!	- Vanđa nói đúng!
- mondá Malárius mester mosolyogva.	thầy giáo Maljarius mỉm cười nói.
- Vandának igaza van!	- Đúng, Vanđa nói đúng!
- ismétlé Kata asszony.	- bà Katrina nhắc lại, nước mắt sụt sùi.
Igy dűlt el másodszor az Erik sorsa.	Và thế là Êrik lại ra đi lần nữa.
O’Donoghan Patrick.	PATRIC Ô ĐÔNÔGAN
Schwaryencrona doktor nyomára jött annak, hogy ama bizonyos Canadai Társaságnak az igazgatóját Churchill Józsuénak hivták.	Ông đã biết được tên viên giám đốc trước đây của Công ty các chủ tàu Canađa là Đgiôsui Socsin.
Az ám, csakhogy hová lett ez a Churchill Józsue, mióta a társaság csődbe jutott?	Tiếc rằng ông không biết những gì đã xảy ra với con người ấy từ khi giải tán công ty.
Bredejord nem győzte a derék doktort kesernyés megjegyzéseivel bosszantani ebben a nevezetes ügyben.	Ở Hamburg, những cuộc tìm kiếm đã không đưa lại những kết quả cần thiết.
Az Erik története ebben az időben mindennapi beszéd tárgya volt a doktor házánál.	Nhưng, chẳng cần đến họ cũng có thể biết được điều đó.
Minduntalan szőnyegre került, most már Erik füle hallatára is szóba hozták, nem is sejtvén, hogy a jó fiú szivében minő fájdalmas húrokat pengettek meg.	Còn về những cuốn sổ ghi tên hành khách của công ty thì có lẽ từ lâu đã bị biến thành giấy lộn để cho những người bán tạp hóa dùng vào việc cuốn thuốc lá.
Mennyit eltöprengett a komoly ifjú a maga sajátságos sorsán!...	Ở nhà bác sĩ, chuyện của Êrik bây giờ mọi người đều biết cả.
- Még a legnyomorultabb csavargó, a kinek nincs hajléka: tudja, hogy melyik hazának a gyermeke - - és én nem tudom... Ezen a kerek földön apátlan-anyátlan, hontalan csak én vagyok!...	Bây giờ bí mật về nguồn gốc của Êrik lại là đề tài cho những câu chuyện vô tận của Fru Grêta và Kaisa, và làm cho bản thân Êrik suy tư buồn bã.
A szélűzte porszem és falevél nem árvább, mint én vagyok... Hol születtem, ki ringatta bölcsőmet; hova zarándokoljak el, hogy sírhalmukra boruljak az én ismeretlen szüleimnek!	"Không biết bố mẹ mình có còn sống không, có lẽ chẳng bao giờ được biết sự thật về gia đình nữa, tất cả những điều đó tự chúng cũng đã đủ buồn rồi.
És mégis a hála és szeretet meleg érzése öntötte el szívét, mikor a norvégiai egyszerű családra gondolt... arra a jóságos asszonyra, ki anyja helyett édes anyja, arra a csendes, komoly emberre, a ki apja helyett apja, s a két jószívű gyermekre, a kik testvérei helyett szerető testvérei voltak.	- Êrik lập luận, chú không lúc nào ngưng nghĩ đến những vấn đề ấy - Thế mà mình không biết gì về mình cả, mình là một hạt cát nhỏ bé chẳng biết phong tục tập quán của đất nước mình, mình không có một tấc đất quê hương, không có quá khứ!
Belemerült a történelem, földrajz és ethnográfia tanulmányozásába, mintegy kutatni akarta, hogy minő faj a kelta, melyhez neki Schwaryencrona szerint tartoznia kell.	Những lúc như thế, chú luôn an ủi mình bằng cách coi bà Katrina là người mẹ ruột, coi nhà bác Hecsêbom là ngôi nhà thân yêu, còn Nôrôê là quê hương xứ sở.
Minő története van ennek a nemzetnek, mily gyönyörűség töltötte el a szívét, midőn Francziaország mozgalmas történetét olvasgatta.	Những ý nghĩ ấy chi phối Êrik trong suốt các buổi học và làm nảy ra một hướng khác, ngoài ý muốn của chú.
A nagyok példáin mennyire lelkesült, s tudatában annak, hogy születése titkát soha meg nem tudja, a lelkesedés helyett mélységes szomorúság szállotta meg.	Chú bắt đầu nghiên cứu một cách cần mẫn môn vũ trụ học (Vũ trụ học - những kiến thức chung về thiên văn và địa lý.
- Majd leteszem a hajóskapitányi vizsgálatot, eljutok New-Yorkba, s a Cynthia ügyében meg­kezdem a puhatolózásomat.	Tưởng như mọi việc đã được quyết định xong xuôi từ trước và chú sẽ đi du hành đó đây.
Erik sorsa iránt nemcsak Schwaryencrona, hanem Bredejord és Hochstedt is a legnagyobb mértékben érdeklődtek, mintha Eriket ők fogadták volna örökbe, mert a derék ifjút teljes szívükből szerették.	"Sẽ đến ngày mình thi tốt nghiệp thuyền trưởng viễn dương - chú thầm nghĩ - và mình sẽ tự lập tổ chức đi Niu-York để tiếp tục việc điều tra những sự việc liên quan đến tàu "Cintia".
Egy szép napon kapták magukat, s a három jó barát meg Erik felszálltak egy Amerikába induló hajó fedélzetére és elutaztak New-Yorkba.	Vốn là người rất chân thành, chú không thể không thông báo cho những người chung quanh về các kế hoạch tương lai của mình.
Tíz nappal utóbb New-Yorkba érkeztek, s nyomban ellátogattak a Schmith Jeromos, Walker és társai czég irodájába, honnan az első tudósítást kapták.	Bác sĩ Svanêrikrôna, trạng sư Brêđêzhor và giáo sư Hostedt tâm đắc với ý định ấy đến mức coi đây như là ý chính của mình.
Eljárt naponta a kikötőbe, szóba elegyedett a matrózokkal, elment a korcsmákba, hova a tengerészek szoktak befordulni.	Vấn đề vẫn chưa ngã ngũ và suốt thời gian dài đã là đối tượng tranh cãi giữa bác sĩ và Brêđêzhor.
- Nem ismer valakit; a ki a Cynthián szolgált hajdanában, akár tisztet, akár matrózt vagy esetleg utast, a ki ezelőtt tizennégy évvel Európába indult?	Từ giờ phút ấy một nhân tố mới mà ý nghĩa của nó trước đây không ai ngờ tới đã bắt đầu phát huy tác dụng - đó là nguồn nghị lực vô tận của chính bản thân Êrik.
- kérdé egyiktől is, másiktól is.	- chú hỏi khắp nơi như thế.
Végre megtudott annyit, hogy valami O’Donoghan Patrick nevű matróz a hajótörött Cynthiá-ról szerencsésen megmenekült.	Không một ai báo được cho chú điều gì về chuyến đi biển cuối cùng của "Cintia" cả.
Másnap Erik újra járt-kelt a kikötőben, az utczákon, a korcsmákban, s kereste azt a bizonyos O’Donoghan Patrickot.	Chính vì thế mà việc quan trọng nhất và không thể trì hoãn được bây giờ là tìm bằng được Patric Ô Đônôgan!
Úgy irták le neki, hogy irlandi, Innishannonban született (Cork grófságban); 33-35 éves körül lehet, alacsony termetű, haja rőt, szemei feketék, az orra belapult.	Bác sĩ và Brêđêzhor đã đi đến quyết định ấy khi Êrik trao đổi với họ về những tin tức của mình sau khi trở về khách sạn ở khu số năm để ăn trưa.
- kérdé Erik.	Thế thì có sao!
- Nem tudná azt megmondani, hogy ho1 tudakozódhatnám bővebben utána?	Bây giờ, trong hai - ba giờ tới đã có chuyện để mà tranh luận với nhau và tất nhiên ba người bạn không bỏ lỡ dịp ấy.
- Bizony aligha,... de várjon csak, menjen el a "Red Anchorn" korcsmába... Ott ült egész nap O’Donoghan Patrick, ha New-Yorkban volt... Bowles, a vén tengeri medve mesélhet róla eleget.	Còn nói về Êrik thì từ giờ phút đó chú tập trung mọi cố gắng của mình để đạt đến một mục đích: tìm bằng được Patric Ô Đônôgan.
- Bowles úr itthon van; tisztelt asszonyom?	- Ông thường gặp ông ấy ở Niu-York à?
- kérdé szokott udvariasságával Erik.	- Ở cả Niu-York lẫn những nơi khác.
- Ha valami mondani valója van, csak ki vele... én vagyok a felesége.	- Úi trời, không đâu.
Lehet már öt vagy hat éve annak, hogy nem járt nálunk... Azt, hogy hol van most, csak a jó Isten tudná megmondani.	Nếu ông ấy mà cũng không biết nữa thì chắc gì đã có ai chỉ được cho cháu nơi tìm Patric Ô Đônôgan?
- Úgy látszik, hogy nagyon a szívén fekszik ez az O’Donoghan Patrick... - jegyzé meg szánakozással.	- Êrik hơi cúi mình chào với vẻ lịch sự thường thấy ở chú.
- Nagyon, de nagyon a szívemen fekszik, asszonyom - viszonzá Erik.	- Nếu vậy thì thưa bà, tất nhiên là bà có thể thay ông nhà để giúp cháu.
- Csak ő tudná megfejteni azt a titkot, mely -	Ông ta hiện giờ có ở chỗ bà đây không?
- Titkot?...	- Patric Ô Đônôgan ư?
Hogy is mondta csak, titkot?	Phải, tôi biết ông ta.
- kérdé módfelett kiváncsian az öreg asszony...	- Thưa bà, chắc chắn bà nghĩ rằng cháu cần Patric Ô Đônôgan để làm gì phải không ạ?
- Ugy van... Nagy titok az... O’Donoghan Patrick az egyetlen ember, a ki a Cynthiáról megmenekült ezelőtt mintegy tizenhét évvel; akkor én csak hét-nyolcz hónapos lehettem... egy bölcsőben menekültem meg a hajóról, a bölcsőt rákötötték egy bójéra.	- chú hỏi, hạ thấp giọng - Thưa, thế này: như người ta cho biết, Patric Ô Đônôgan là người đã chứng kiến vụ chiếc tàu Mỹ "Cintia" bị đắm cách đây đã gần mười bảy năm ở gần bờ biển Na Uy.
O’Donoghan Patrick talán meg tudná mondani, hogy kik voltak a szüleim, ezért keresem őt...	Cháu tìm Ô Đônôgan để hỏi xem ông ấy có biết gì về gia đình cháu, hoặc là Tổ quốc cháu không?
- Egy bójéra?	- Cậu nói là trên phao cứu hộ á?
- Bowles!...	- Boul!
Jere le hamar!...	Xuống đây mau lên!
Erik arcza elsápadt az örömtől és reménytől.	Ai mà có thể tưởng tượng như vậy được?
Bowles otromba, nehéz léptei hallatszottak már a falépcsőn... Kövér, tulipiros ábrázatú, rezes orrú ember volt, a szemei tele álommal...	Mặt ông hồng hào, râu quai nón rậm rạp và bạc phơ, hai tai lủng lẳng những chiếc vòng vàng.
- kérdé szemeit dörzsölgetve.	- ông già vừa hỏi vừa dụi mắt.
- Ide jere, szükségünk van reád, ülj le, s hallgass az ifjú urra... Hadd mondja el neked is, a mit nekem az imén elmondott.	- Gì à, chúng tôi cần ông - Bà Boul đáp với vẻ quyết đoán - Ông ngồi xuống và nghe cậu thanh niên này sẽ nói lại tất cả những gì cậu ấy đã kể với tôi.
- Most már tudja, Bowles úr, hogy miről van szó - mondá Erik remegő szívvel.	- Vậy cháu có thể dự đoán được là ông đã rõ lai lịch của cháu?
- Tudom is, no meg nem is tudom; az asszony is éppen annyit tud belőle, mint én.	- Rõ và cũng chưa rõ, cũng như nhà tôi thôi.
A mit ezenkívül mondott, az éppen oly érthetetlen, mint zavaros volt.	Chúng tôi thường nói về chuyện này, nhưng có điều là không hiểu gì cả.
Szegény Eriket majd elemésztette a nagy izgatottság.	Nhưng, lời giải thích lại vòng vo.
A felesége jól ismerte drága urát, mert hamarosan két üveg hasonló nemű folyadékot tett elébe az asztalra.	Bà vợ vừa đặt trước mặt đức ông chồng đáng kính một chai rượu với hai cái ly, ông ta liền trổ tài nói ngay.
