Turgenyev	Ivan S.Turgenev.
- Zina, Zina!	"Zina, Zina!
Magammal vittem az öregasszony kérvényét, s mellette ültem egész este.	Tôi mang tờ thỉnh nguyện về nhà và dành trọn buổi tối cho nó.
9	Chương 9
"Szenvedélyem" ezen a napon kezdődött.	"Đam mê" của tôi bắt đầu từ ngày ấy.
Emlékszem, olyasfélét éreztem, amit a szolgálatba lépő ember érezhet: többé nem voltam fiatal gyerek, szerelmes voltam.	Lúc đó tôi cảm nhận, tôi nhớ vậy, một điều gì giống như một thanh niên khi nhập ngủ hẳn đã cảm nhận: từ nay tôi không đơn giản là một cậu bé; tôi đang yêu.
Mondtam már, ezen a napon kezdődött szenvedélyem; hozzátehetem, hogy szenvedéseim is ezen a napon kezdődtek.	Như đã nói, đam mê của tôi bắt đầu vào ngày ấy; tôi có thể thêm, đau khổ của tôi cũng thế, bắt đầu từ ngày đó.
Ölt a bú, ha nem voltam Zinaida mellett: nem fogott az eszem, minden kiesett a kezemből, egész napokon át megfeszülten csak róla gondolkoztam... Ölt a bú... de a közelében sem éreztem könnyedebbnek magam.	Không có Zinaida, tôi héo hon tiều tụy; đầu óc tôi trống rỗng; không làm việc gì cho ra hồn; suốt ngày tôi nhung nhớ nàng ...Khi nàng vắng mặt, tôi mỏi mòn, ...nhưng khi có sự hiện diện của nàng, tôi cũng chẳng khá gì hơn.
Féltékenység gyötört, éreztem jelentéktelenségemet, ostobán duzzogtam és ostobán alázkodtam - s mégis lebírhatatlan erő húzott hozzá - s mindig a boldogság önkéntelen remegésével léptem át szobája küszöbét.	Tôi hờn ghen; tôi ý thức được sự tầm thường của mình; tôi phụng phịu hoặc tự hạ mình một cách xuẩn ngốc, và cùng một lúc, một mãnh lực vô hình lôi cuốn tôi đến bên nàng, tôi không thể không rùng mình vui sướng mỗi lúc bước qua ngạch cửa phòng nàng.
Édes érzés mások legnagyobb örömének és legmélyebb bánatának egyetlen forrása, korlátlan és felelőtlen oka lenni, én azonban olyan voltam a Zinaida kezében, mint a puha viasz.	Có một điều gì đó ngọt ngào, khi ta là cội nguồn duy nhất, là lý do chuyên chính và vô trách nhiệm, gây ra niềm vui bao la nhất.
Különben nemcsak én szerettem bele Zinaidába; a házukat látogató valamennyi férfi odavolt érte, s ő valamennyit pórázon tartotta - lábainál.	cơn đau đớn sâu đậm nhất cho người khác, và tôi như sáp ong trong tay Zinaida; mặc dù, thực tình, tôi không phải là người duy nhất yêu nàng.
Mulatságát lelte abban, hogy hol reményeket, hol félelemérzéseket keltett bennünk, szeszélyei szerint forgatta őket (ezt ő így hívta: az embereket egymásnak lökni), s azoknak eszükbe sem jutott, hogy ellenkezzenek, szívesen alávetették magukat akaratának.	Tất cả đám đàn ông con trai lui tới nhà nàng đều điên mê nàng, nàng nắm dây giữ họ phủ phục dưới chân nàng, Nàng thú vị khi khêu gợi hy vọng và lo sợ nơi bọn họ, điều khiển họ theo ý thích, trong khi đó họ không bao giờ dám mơ tưởng tới chuyện kháng cự, và sằn lòng chiều nàng.
Ebben az életerős, szép teremtésben volt valami rendkívül elbájoló keveréke a ravaszságnak és gondtalanságnak, mesterkéltségnek és egyszerűségnek, nyugalomnak és elevenségnek; mindenből, amit tett, beszélt, minden mozdulatából finom, könnyed báj áradt, mindenben valami egészen egyéni játékos erő jutott kifejezésre.	Con người nàng, đầy sức sống và cái đẹp, có một hỗn hợp ma lực đặc sắc của sự quỷ quyệt vá phóng túng, giả tạo và đơn giản, an tỉnh và vui nhộn; mọi điều nàng làm hay nói, tất cả hành động của nàng, đều phảng phất một vẽ duyên dáng thanh tao, trong đó sức mạnh của cá nhân được bày tỏ.
Az arca is állandóan változott, annak is játéka volt: szinte ugyanabban a pillanatban csúfondáros kedv, tűnődés és szenvedélyesség fejeződött ki benne.	Và gương mặt nàng cũng luôn luôn linh động; diễn tả, gần như cùng một lúc, mĩa mai, mơ mộng, đam mê.
Majdanov Zinaida lelkének költői húrjához illett; meglehetősen hideg ember volt, mint az íróféle emberek általában, de kitartóan erősítgette Zinaidának, s talán önmagának is, hogy imádja, végtelen terjedelmű verseket írt hozzá, s felolvasta neki, helyenként mesterkélt, helyenként természetes elragadtatással.	Meidanov đáp ứng được khía cạnh thi ca của tâm hồn nàng; là một người tính tình hơi lạnh nhạt, như hầu hết những nhà văn nhà thơ, ông ta bắt mình phải thuyết phục nàng, và có lẽ cả bản thân, rằng ông ta ngưỡng mộ nàng, ca ngợi nàng với những bài thơ không bao giờ chấm dứt, ông đọc thơ mình cho nàng nghe, nhiệt tình đặc biệt, đôi khi ra vẻ âu yếm và thành thật.
Zinaida rokonszenvezett is vele, s nem is nagyon ugratta: nemigen hitt neki, s ha végighallgatta verses áradozásait, Puskin­ból olvastatott vele, hogy, amint mondani szokta, megtisztuljon a levegő.	Nàng đồng cảm với ông, nhưng cùng lúc, diễu cợt chút ít; nàng không đánh giá ông cao, sau khi lắng nghe thơ của ông, nàng bắt ông phải đọc thơ Pushkin, như nàng nói, để thanh lọc không khí.
Lusin, a csúfolkodó és cinikus szavú doktor, mindegyiküknél jobban ismerte - s mindegyiküknél jobban szerette, bár szidta háta mögött is, szembe is.	Lushin, vị bác sĩ cay đắng, lời nói rất mỉa mai, hiểu nàng hơn tất cả, và yêu nàng hơn tất cả, cho dù ông dè bỉu chê bai nàng tận mặt, và sau lưng nàng.
Zinaida tisztelte őt, de nem engedte közel - s olykor különös kárörömmel éreztette vele, hogy őt is pórázon tartja.	"Tôi lẳng lơ, tôi tàn nhẫn, tôi biết diễn xuất từ trong bụng mẹ."
"Én kacér és szív­telen vagyok, színésznő természet - mondta neki egyszer az én jelenlétemben -, á, nagyszerű!	nàng nói với ông ta trước mặt tôi một ngày nọ; "cũng tốt !
Szép férfi volt, ügyes és okos, de még én, a tizenhat éves fiú is éreztem benne valami bizonytalant, valami hamisat, s csodálkoztam, hogy ezt Zinaida nem veszi észre.	Anh chàng đẹp trai, khôn ngoan, khéo léo, nhưng tôi, một cậu bé mười sáu tuổi, cũng thấy rõ là có một điều gì đó mờ ám, giả tạo nơi chàng, và tôi hết sực ngạc nhiên vì Zinaida không nhận ra.
De az is lehet, hogy észrevette ezt a hamis vonást, s nem idegenkedett tőle.	Nhưng cũng có thể nàng đã nhận ra yếu tố giả dối đó, và không ghê tởm.
Helytelen nevelés, különös ismeretségek és szokások, az anya állandó jelenléte, a szegénység és rendetlenség a házban, minden, kezdve a szabadságon, melyet a fiatal lány élvezett, az a tudat, hogy a környezetéhez tartozók felett áll, szinte megvető fölényességet és nemtörődömséget fejlesztettek ki benne.	Nền giáo dục bất thường của nàng, những người quen biết và các lề thói kỳ cục, sự có mặt thường trực của mẹ nàng, sự nghèo túng và vô trật tự trong nhà, tất cả mọi chuyện, từ nền tự do nàng thụ hưởng cho đến ý thức về sự cao cả của mình so với người chung quanh, tất cả đã phát triển thành một tính cách phóng túng pha trộn khinh thường, và thiếu sót tính cẩn trọng.
Történhetett bármi - mondjuk, Vonyifatyij azt jelentette, hogy nincs cukor, vagy valami csúf pletyka tudódott ki, vagy a vendégek veszekedtek - csak megrázta a haját, s azt mondta: szamárság!	Vào bất kỳ lúc nào chuyện gì cũng có thể xảy ra; lão bộc Vonifaty có thể tuyên bố không cón đường, một vụ tai tiếng ly kỳ được thuật lại, khách khứa bỗng dưng cải vã -- nàng chỉ lúc lắc mấy lọn tóc, rồi nói, " Chẳng ảnh hưởng chi ?"
- s nem törődött vele.	và không để tâm mấy tới chúng.
De nekem sokszor felforrt a vérem, ha Malevszkij odalépett hozzá ravaszul ringatózva, mint a róka, elegánsan megállt székének a karfája mögött, s elkezdett önelégült, behízelgő mosollyal a fülébe suttogni - ő pedig keresztbe fonta két karját a mellén, figyelmesen nézte, s maga is mosolyogva bólogatott.	Nhưng tuy thế, máu tôi đôi khi sôi lên vì bất bình khi Malevsky đến gần nàng, quỷ quyệt như loài chồn, duyên dáng dựa lên lưng ghế của nàng, bắt đầu thì thào với một nụ cười thỏa mản và tâng bốc, trong khi nàng khép tay quanh ngực, nhìn anh ta chăm chú, mĩm cười đáp lại, và lắc đầu.
- Mi öröme telik Malevszkij úr fogadásában?	"Tại sao chị tiếp đãi Bá tước Malevsky?"
- kérdeztem egyszer.	một ngày kia tôi hỏi nàng.
- Hát olyan szép bajuszkája van - felelte.	"Ông ta có bộ ria mép xinh quá," nàng trả lời.
- De hát ez nem tartozik magára.	"Nhưng em không hiểu điều đó đâu."
- Csak nem gondolja, hogy szeretem - mondta más alkalommal -, nem; én az olyanokat szeretni nem tudom, akikre felülről kell néznem.	Chị cần một người có thể chế ngự được chị...Nhưng, tạ ơn trời, chị hy vọng sẽ không bao giờ gặp người đó!
Nekem olyan férfi kell, aki uralkodni tud rajtam... De ilyent nem találok.	Chị không muốn rơi vào móng vuốt của ai, đổi lấy bất kỳ điều gì."
senkinek!	"Còn em?
- Hát magát, magát én nem szeretem?	Chẳng phải chị yêu em hay sao?"
- kérdezte, s kesztyűje végével az orromra ütött.	nàng nói, và dùng đầu ngón tay mang găng khều khều mủi tôi.
Bizony, Zinaida csak mulatott rajtam.	Vâng, Zinaida đùa vui thỏa thích trên sự đau khổ của tôi.
Három héten át mindennap láttam - s mi mindent művelt azalatt velem.	Trong suốt ba tuần, tôi gặp nàng mỗi ngày, và có thứ gì mà nàng chẳng thực hiện trên tôi!
Hozzánk ritkán jött, de nem is bántam: nálunk úri kisasszonnyá, hercegnővé alakult át - s én kerültem őt.	Hiếm khi nàng sang nhà tôi, tôi cũng chẳng tiếc; ở nhà tôi nàng biến đổi thành một phụ nữ, một cô công chúa, và tôi có phần kính sợ.
Féltem, hogy elárulom magam anyám előtt; egyál­talában nem kedvelte Zinaidát, s gyanakvó szemmel figyelt minket.	Tôi e ngại mẹ tôi phát hiện ra tâm sự của mình; mẹ tôi rất không ưa Zinaida, và canh chừng chúng tôi cẩn mật.
Apámtól nem tartottam annyira; ő szinte észre sem vett, Zinaidával pedig keveset beszélt, de nagyon okosan és jelentősen.	Cha tôi không nói nhiều với Zinaida, nhưng câu chuyện lúc nào cũng dí dỏm, đầy ý nghĩa đặc biệt.
Teljesen elhagytam a munkát, az olvasást - még kirándulásaimat is, a lovaglást is.	Tôi bỏ học, bỏ đọc sách; không những thế tôi bỏ dạo quanh xóm và cởi ngựa.
Olyankor bezárkóztam a szobámba, vagy kimentem a kert legvégébe, felmásztam a magas, kőből épült melegház épen maradt romjaira, lelógattam lábamat a falról, mely az útra nézett, órákig ültem ott, s csak néztem, néztem magam elé, de semmit sem láttam.	Rồi tôi thường giam mình trong phòng riêng, hoặc đi ra cuối vườn, leo lên những đổ nát của một ngôi nhà ươm cây bằng đá đã bỏ hoang, chân đong đưa, tôi ngồi hàng giờ trên bức vách cạnh đường, nhìn vẫn vơ mông lung và chẳng gặp gì.
Mellettem - a porlepte csalánok felett -, fehér pillangók szálltak lustán; hetyke veréb telepedett nem messze tőlem egy kettétört vörös téglára, s ingerlően csiripelni kezdett, közben állandóan forgott egész testével és szétterítette a farkát; egy még bizalmat­lankodó varjúcsoport károgott néha magasan, magasan, egy nyírfa lombtalan csúcsán; a nap és a szellő csendesen játszadoztak vékony ágai között; a doni kolostor harangszava idehallatszott néha, nyugodt és szomorú volt a hang, én pedig ültem, néztem, hallgattam - s teljesen megteltem egy névtelen érzéssel, melyben minden volt: bánat is, öröm is, a jövő sejtelme is, vágy is, az élet félelme is.	Đàn bướm trắng thơ thẩn quanh tôi và trên những ngọn tầm ma bụi bậm; không xa lắm, một chú chim sẽ tươi vui đậu trên vụn gạch đỏ, ríu rít hót inh ỏi, không ngừng cựa quạy, tỉa tót mớ lông đuôi; những con quạ vẫn còn nghi hoặc thỉnh thoảng lại kêu quang quác trên cao, cao chót vót nơi đầu cành trơ trụi của một cây bạch dương, nắng gió nhẹ nhàng đung đưa cành lá; tiếng lanh canh của những chiếc chuông tu viện Don thỉnh thoảng vọng lại, êm đềm và thê lương; khi tôi ngồi, nhìn bâng quơ, lòng đầy tràn một cảm xúc không tên trong đó tất cả đã chứa đựng: nỗi buồn, niềm vui và hương vị của tương lai, ước vọng và kinh sợ của cuộc đời.
De én abból akkor semmit sem értettem, s nem is tudtam volna mindabból, ami bennem erjedt, semmit megnevezni - vagy mindennek egy nevet adtam volna - Zinaida nevét.	Nhưng vào thời điểm đó, tôi không hiểu chi về chúng, và không thể gọi tên bất kỳ thứ gì đang xảy ra ngẫu nhiên trong lòng, hay có lẽ tôi nên gọi chúng bằng cái tên duy nhất - Zinaida.
Zinaida pedig csak játszott velem, mint a macska az egérrel.	Zinaida tiếp tục chơi trò mèo vờn chuột với tôi.
Egyszer kacérkodott velem - s akkor izgultam és olvadoztam -, máskor hirtelen ellökött magától - s én nem mertem közeledni hozzá, s nem mertem ránézni.	Nàng tỏ ra tình tứ với tôi, tôi vừa khó chịu vừa vui sướng; rồi nàng thình lình xô đuổi tôi, và tôi không dám mon men tới gần -- không dám nhìn nàng.
Emlékszem, néhány egymás után következő napon nagyon hideg volt hozzám, egészen megszeppentem, s félénken szaladtam át hozzájuk a szárnyépületbe, s igyekeztem az öreg hercegné körül tartózkodni, annak ellenére, hogy éppen akkor nagyon veszekedő és kiabáló kedvében volt; váltóügyei rosszul alakultak, s már két komoly eszmecseréje volt a kerületi rendőrfőnökkel.	Tôi nhớ nàng đã lạnh nhạt với tôi trong nhiều ngày; tôi hoàn toàn tan nát, và nhút nhát lần mò đi đến nhà nàng, cố gắng ở gần bà công chúa, mặc dù lúc ấy bà rất hay la rấy và cáu kỉnh; các áp phe tiền bạc của bà tồi tệ, bà phải hai lần có những "giải thích" cho các viên chức cảnh sát.
