ANTOINE DE SAINT-EXUPÉRY	Antoine de Saint-Exupéry
- Itt van a fészkük az asztal alatt egy lyukban.	- Chúng làm tổ trong cái hang ở dưới gầm bàn đấy.
- Este tíz óra körül jönnek haza.	- Khoảng mười giờ tối chúng mò về.
Lopva figyeltem a lányokat.	Ngày nay tôi mộng lại.
Csodáltam királyi méltóságukat.	Hai nàng tiên ấy bây giờ ra sao?
Rájuk gondolok most.	Đã lấy chồng?
Mindez nagyon messze van már.	Thế ra là thay đổi?
Mi lett ezzel a két tündérrel?	Hai nàng làm gì trong căn nhà mới?
Olyan nehéz lányból asszonnyá lenni.	Con số đó trĩu nặng ở đáy lòng.
Mi lett mindazzal, ami a gyomokhoz és a kígyókhoz kötötte őket?	Bỗng làm viễn khách tới trình diện nhị cô nương.
De jön egy nap, amikor a lányban fölébred az asszony.	Cô đem màu lộng lẫy mà trang điểm gã lai rai.
És akkor jelentkezik egy ostoba alak.	Bé cái nhầm là rứa đó, hỡi người ta.
Az éles szem ekkor csalódik először, megtelik színnel, lobog.	Người ta tưởng gã lai rai không phải người ngốc nghếch.
Azt hiszik, örül ennek a bizalomnak: egy kígyónak, ha lábához dörgölőzik az asztal alatt.	Người ta tưởng hắn hài lòng vì rắn lục tin yêu, lay lắt bò leo trong ống chân, gặm bàn bên dưới.
Neki adják szívüket, ezt a vad kertet - neki, aki csak a nyírott parkokat szereti.	Người ta đem trái tim mình ban cho gã, một trái tim tròn trịa chất chứa mộng vườn hoang.
És az ostoba alak elviszi a hercegnőt - rabszolgaságba.	Mà gã ta chỉ thích cái khu vườn vun vén.
A SIVATAGBAN	TRONG SA MẠC
Az életnek ezek az örömei bezárultak előttünk, amikor mint a szaharai vonal pilótái, erődtől erődig repülve folyton, hetekig, hónapokig, évekig a homok foglyai voltunk.	Hằng tuần, hằng tháng, hằng năm, làm thân phi công trên độ đường Sahara, chúng tôi hãm thân mình trong cát, di chuyển từ lũy này sang lũy kia, không về.
Három sivatagi esztendő jól megtanított a magány ízére.	Ba năm lăn lộn trong sa mạc, té ra tôi đã quen mùi.
A fák meghozták gyümölcsüket, a föld gabonái beértek, s az asszonyok is szépek már.	Cây cối đã đâm hoa kết trái, đất đai đã nảy nở lúa vàng, phụ nữ đã tới kỳ kiềm diễm.
Az évszak nőttön-nő, sietni kellene hazatérni... az évszak nő, és az ember nem mehet haza... És a föld javai kiperegnek ujjai között, mint a buckák finom homokja.	Nhưng mùa chuyển nhanh, phải gắng về vội vã… Nhưng mùa chuyển gấp, mà ta còn bận bịu nơi xa… Và những của quý trần gian cứ lọt qua kẽ tay như cát mịn cồn gò.
Az emberek általában nem érzik az idő folyását; ideiglenes békében élnek.	Thời gian trôi, trôi mãi, nhưng con người thường không lưu tâm nhận thấy.
Mi azonban éreztük, mihelyt egyszer leszálltunk a repülőtéren, és ránk nehezedett az örökös passzátszél.	Nhưng bỗng nhiên chúng tôi nhận thấy điều đó một lần hạ cánh xuống trạm nghỉ, gặp trận gió Tây liên miên thổi tới.
A sivatagi életet még súlyosabbá tették a felkelő törzsek.	Mỗi bất hòa ở vùng phiến loạn càng xui sa mạc heo hút thêm.
Cap Juby éjszakáiba mint egy toronyóra ütése harsant bele negyedóránként az őrszemek hangja: így figyelmeztették egymást sorjában erős, szabályos kiáltással.	Những đêm dài tại Cap Juby, cứ mười lăm phút lại nghe tiếng hú của bọn lính gác gọi nhau vọng từ điếm canh này sang điếm canh khác, khẩu hiệu cầm canh gióng giả từng hồi như chuông đồng hồ điểm.
Két lépésre tőled a férfi, aki kolostorába falazta magát, és számodra ismeretlen szabályok szerint él - valóban tibeti magányba vész, olyan messzeségbe, ahová soha, semmiféle repülőgép nem vihet el.	Cách ta vài bước, một kẻ sống ẩn thân trong tu viện, sống theo những quy tắc, lề lối xa lạ với ta, kẻ đó quả thật cách biệt ta hơn mười vạn hoang vắng quan san, trong một cõi xa xôi không phi cơ nào bay tới được.
Hiába néznéd meg celláját: üres az!	Ta tìm viếng thăm chi trong hang của họ.
Az ember birodalma bent van, önmagában.	Vũ trụ con người ta là vũ trụ nội tại.
A sivatag se homokból, berberekből és fegyveres mórokból áll...	Nhưng chính bữa nay, chúng tôi vừa trải qua một trận khát.
Megszomjazol; és egyszerre fölfedezed, hogy a kút, amelyet ismertél, fölragyog a távolokban.	Một người đàn bà vô hình cũng có thể gây man mác đầm ấm cho khắp một căn nhà.
Egy láthatatlan asszony egy egész házat elvarázsol.	Một cái giếng cũng vang xa rào rạt, như tình yêu vậy.
És egy kút messzire ér, akár a szerelem.	Cát ban sơ vốn là hoang vắng.
A homok eleinte sivár, azután eljön egy nap, amikor egy fegyveres felkelő csapat közeledésétől félsz, s akkor észre veszed annak a nagy kabátnak a hajlásait, amelyet a sivatag visel.	Rồi một ngày lo sợ một trận giặc cướp tới gần, chúng ta đọc trên cát những nếp gấp của tấm áo bao la mà hiểm họa đã tự phủ lên thân mình.
A felkelők is átváltoztatják a sivatagot.	Giặc cướp đã biến dạng cát.
Hogy közelébe jussunk, nem elég meglátogatnunk az oázisokat, az kell hozzá, hogy egy forrás - a vallásunk legyen.	Ghé bờ sa mạc là: sùng mộ nguồn nước giếng như một tôn giáo thiêng liêng.
Első utazásomon mindjárt megízleltem a sivatagot.	Ngay chuyến bay đầu tiên, tôi đã bén mùi sa mạc.
Riguelle, Guillaumet meg én elakadtunk a Noutchott-erőd mellett.	Chúng tôi ba người, hai bạn Riguelle, Guillaumet và tôi, rơi sát cạnh đồn binh Nouatchott.
Ez a kis mauritániai állomáshely abban az időben úgy el volt zárva a világtól, mint egy apró sziget valahol a tenger közepén.	Cái đồn nhỏ này ở Mauritaine, thủa đó cô lập như một đảo nhỏ đơn sơ đơn chiếc lạc hồn trong dặm biển.
Egy öreg őrmester élt ott bezárkózva tizenöt szenegáli katonájával.	Một người đội già sống biệt lập nơi đây với mười lăm bác da đen Sénégalais.
Ó, mit jelent ez nekem...	Cảm động lắm.
Sokat jelentett neki: sírt a megindultságtól.	Viên đội cảm động thật, ông ta khóc:
- Hat hónap óta maguk az elsők.	- Ròng rã sáu tháng nay, các anh là những người thứ nhất tới đây.
Minden hatodik hónapban hoznak élelmet nekünk.	Khi thì trung úy, khi thì đại úy.
Hol a hadnagy úr, hol a kapitány.	Lần sau cùng, chính là đại úy…
Legutóbb a kapitány úr volt...	Chúng tôi thì còn đang bàng hoàng.
Még kábultak voltunk; kétórányira Dakartól, ahol vár az ebéd, a hajtókar kiugrik, és az ember sorsa megváltozik.	Dakar còn cách hai giờ đường, bữa ăn trưa chờ chúng tôi tại đó, một cái trục long đi, và con người ta cũng đổi luôn định mệnh.
- Ó!	- Này!
Képzeljék, mikor a kapitány itt járt, nem tudtam megkínálni, a kapitányt!	Lần đại úy tới, tôi chẳng có một giọt rượu nào để mời ngài xơi cả đó.
- Legutóbb annyi borom se volt, hogy koccinthassunk... Annyira szégyelltem, hogy a leváltásomat kértem.	- Lần đó tôi không nâng ly chạm cốc được… Tôi xấu hổ quá nên phải xin đổi đi nơi khác.
Koccintani!	Chạm cốc!
De nincs bor: nem lehet megtartani az ünnepséget.	Người ta thấy mình mất hết thanh danh.
És úgy érzik, gyalázat érte őket.	Giờ mong đợi cũng là giờ bỏ đi…
- Alig várom, hogy visszajöjjön...	- Tôi nóng lòng chờ đại úy trở lại: Tôi nóng lòng chờ…
- Nem tudni.	- Làm sao mà biết.
Ő mindenütt van, a kapitány...	Đại úy thì ở khắp nơi.
Semmi másra nem kellett figyelni, mint a csillagokra.	Không còn trông vời đám bụi nữa.
Mind ott voltak, fejünk fölött ragyogtak, mint amikor repülőgépről nézzük őket, de most nem mozdult egyikük sem.	Ngàn sao ở đó, đầy đủ sa số hằng hà, như lúc lái phi cơ, nhưng bây giờ đứng im mà vằng vặc.
Nagyon szép éjszakákon az ember elhagyja magát a repülőgépen, nincs gondja a vezetéssel, s a gép lassanként bal oldalára dől.	Ngồi trên phi cơ những đêm trời đẹp quá, người ta lơ đãng bỏ rơi tay lái, và chiếc phi cơ nghiêng dần về phía tả.
Csakhogy a sivatagban nincsenek falvak.	Nhưng trong sa mạc không có khu làng.
A Szahara végtelenségében halászhajórajok sincsenek.	Vây bọc Sahara, không có khu vực đoàn tàu dặm khơi chài cá.
Szelíden a vízszintes síkba fordítja gépét.	Và khu làng ban sơ lại trở về đúng nguyên vị trí.
Igen.	Vâng.
Falu - csillagokból.	Viên đội già bảo: - Này nhé!
- Jól ismerek minden irányt... az a csillag egyenesen Tuniszba vezet.	Nhắm thẳng theo vì sao này, là thẳng tiến tới Tunis.
- Tuniszi vagy?	- Thầy quê ở Tunis chắc?
- Nem.	- Không.
Az unokahúgom tuniszi.	Cô em họ tôi ở đấy.
Hosszú csönd, az őrmester azonban nem mer eltitkolni semmit.	Nhưng viên đội không dám giấu chúng tôi một điều gì cả:
- Egy napon majd elmegyek Tuniszba.	- Rồi thế nào cũng có ngày tôi đi Tunis.
S akkor elkezdődik az a kába menetelés, amelyről a be nem avatottak azt hiszik: tele van szenvedéssel.	Tới khi đó là khởi đầu cuộc viễn du lai láng thần và tiên, mà người phàm vốn tưởng là đau xót.
- Egyszer engedélyt kértem Tuniszba a kapitány úrtól, az unokanővér ügyében.	- Đã có lần tôi xin Đại úy cho phép về Tunis thăm người em gái họ.
- Mit felelt?	- Trả lời rằng sao?
- Azt felelte: a világ tele van unokanővérekkel.	- Trả lời rằng: "Trong thế gian này chứa đầy xiết bao là cô em họ gái".
- Szép volt az unokanővéred?	- Cô ấy đẹp chứ, cô em họ thầy?
- A tuniszi?	- Cô em họ ở Tunis?
- Nem.	- Cô ở Dakar?
Szerettünk volna megölelni, őrmester, kicsit fitymáló, szomorkás válaszodért:	Thầy đội ơi, tôi chỉ muốn ôm hôn thầy vì câu trả lời nửa sầu nửa hận:
- Néger volt...	- Cô ấy vốn người da đen… chiêm bao bờ cỏ…
Istenség, aki állandóan feléd menetel.	Hay chính một Thần Linh thiên thu về gọi?
És mit jelent nekünk a sivatag?	Còn sa mạc chúng tôi?
Valamit, ami megszületett bennünk.	Là những gì nảy nở ở trong tôi.
Azt, amit magunkról megtanultunk, azon az éjszakán mi is szerelmesek voltunk egy unokanővérbe és egy kapitányba....	Trong đêm ấy bọn chúng tôi cũng tha thiết yêu thầm một người em gái họ và một vị quan ba.
Port-Étienne, a leigázatlan Szahara határán, aligha mondható városnak.	Ở sát bờ những vùng phiến loạn, Port-Étienne không phải là một thành phố.
Körülötte oly végtelen a sivatag, hogy bár katonai ereje gyenge, Port-Étienne majdnem legyőzhetetlen.	Sa mạc ở xung quanh trùng trùng điệp điệp, vì vậy cho nên sa mạc dù Port-Étienne không dồi dào quân khí, nó vẫn là một địa điểm rất khó tranh cường mà thủ thắng.
Mégis, emberemlékezet óta mindig akad valamerre északon egy Port-Étienne felé vonuló fölkelő csapat.	Tuy nhiên từ các vùng phương Bắc lại, thường vẫn có một đội loạn quân tiến về phía Port-Étienne.
A kézigránátok és a töltények, amiket a kormányzóság oszt ki este, békésen pihennek ládáikban, ágyunk lábánál.	Mớ đạn nhà cầm quyền cho chúng tôi mỗi đêm, vẫn nằm yên ổn ở dưới chân giường, trong thùng chứa.
És Lucas, a repülőtér főnöke, éjjel-nappal járatja a gramofont, mely - oly távol az élettől - egy félig már elveszett nyelven szól hozzám, és tárgytalan mélabút kelt az emberben.	Và Lucas, chỉ huy sân bay, chỉ biết có ngày đêm liên miên vặn máy hát, và ở xa vắng quá đối với cuộc đời, máy hát phát những âm thanh nghe chừng như ngôn ngữ lạ, và gây một mối sầu vô cớ, sao lại giống lạ lùng mối u sầu những khi khát nước dưới trời xanh.
Franciaországból három láda igazi földet kapott; négyezer kilométert tett meg ez a föld.	Ông đã nhận được từ Pháp gửi sang, ba thùng đất đã vượt bốn nghìn cây số để tới đây.
Három zöld levél hajt benne, és mi úgy becézzük őket ujjunkkal, mint ékszereket.	Nói tới đó, vị đại úy bảo: "Thửa vườn của tôi đó".
A kapitány azt mondja, ha róluk beszél: "Ez az én kertem." És ha föltámad a mindent kiszárító homokvihar, a kertet leszállítják a pincébe.	Và mỗi khi gió cát thổi qua, thổi cháy hết vạn vật, thì người ta mang thửa vườn đi giấu kỹ ở dưới hầm.
A holdsütésben rózsaszínű a homok.	Dưới bóng trăng, cát điểm màu hồng.
Ránk nehezedik a kietlen elhagyatottság - de a homok rózsaszínű.	Chúng tôi cảm thấy mình xác xơ, nhưng cát điểm màu hồng.
És mégis!	Thế nhưng!
S a szenegáli őrszem, mint egy próféta, eszünkbe idézi őket.	Và người lính canh da đen vừa nhắc lại điều đó, như một tiên tri.
Mélyebben lélegzünk.	Và hô hấp dễ chịu hơn.
Mennyire megnemesít ez a távoli fenyegetés!...	Mối hăm dọa kia đem lại cho chúng tôi một niềm cao nhã.
Lucas a rádióállomásról jön, jelenti, hogy a dakari gép éjfélre megérkezik.	Lucas từ máy vô tuyến đến cho tôi hay là phi cơ Dakar sẽ tới lúc nửa đêm.
Minden rendben van.	Trên tàu vô sự.
Gondosan borotválkozom egy csorba tükör előtt.	Trước tấm gương sứt mẻ, tôi chăm chú cạo râu.
