Dávid Copperfield	David Copperfield
– Copperfield úrfi, – szólt Micawberné, – magát nem tekintem idegennek, s ezért nyiltan megmondom, hogy az uram anyagi helyzete válság előtt áll.	"Cậu Copơphin ạ, tôi không muốn xem cậu là người xa lạ, vì vậy tôi không ngần ngại nói cho cậu biết rằng những khó khăn của ông Micôbơ đã đi đến chỗ nguy ngập".
Ez a nyilatkozat végtelenűl elszomorított, s a legőszintébb részvéttel tekintettem Micawberné vörösre sírt szeme közé.	Nghe nói thế, tôi cảm thấy rất đau xót và ngước mắt nhìn đôi mắt đỏ ngầu của bà Micôbơ, lòng hết sức ái ngại.
Úgy megszoktam az éléskamrát emlegetni, mikor a papánál és a mamánál laktam, hogy csaknem öntudatlanúl rájár a nyelvem.	Tôi vẫn quen dùng danh từ tủ thức ăn khi tôi sống với ông bà cụ thân sinh và ở đây tôi dùng nó hầu như vô ý thức.
Azt akarom mondani, hogy nincs a házban egy falat ennivaló se.	Điều tôi muốn nói là trong nhà không còn gì ăn nữa".
Volt még két vagy három shilling a zsebemben a hetibéremből, a miből azt következtetem, hogy ez a beszélgetés egy szerda este folyt közöttünk.	Trong túi tôi có hai hay ba si-linh tiền lương hàng tuần còn lại - căn cứ vào đó mà xét thì hôm chúng tôi nói chuyện phải là tối thứ tư.
Gyorsan előszedtem a pénzemet s őszinte megindulással arra kértem Micawbernét, hogy kölcsön fogadja el.	Tôi vội vàng đưa số tiền ra, thành khẩn xin bà Micôbơ tạm vay.
– Nem, drága Copperfield úrfi, – szólt, – távol legyen tőlem e gondolat!	"Không đâu, cậu Copơphin ạ, tôi tuyệt đối chẳng nghĩ đến điều đó.
De maga korához képest rendkívül okos és hallgatag, és más szívességre kérném.	Nhưng cậu là người khôn sớm hơn tuổi, cậu có thể giúp tôi một việc khác nếu như cậu muốn; và tôi rất cảm ơn cậu nếu cậu giúp tôi".
Ha megtenné, ezt már hálásan fogadnám.	Tôi yêu cầu bà Micôbơ cho biết việc đó là việc gì.
Kértem, mondja meg, miről van szó.	Bà Micôbơ nói:
– Az ezüstneműn magam adtam túl, – szólt Micawberné.	"Tôi đã tự tay mình bán đồ bát đĩa bằng bạc.
– Hat darab teáskanalat, két sótartót s egy czukorcsiptetőt különböző alkalmakkor sajátkezűleg vittem a zálogházba.	Sáu thìa trà, hai bình muối, một cái cặp gắp đường và nhiều lần chính tay tôi đã vay tiền một cách bí mật.
Az uram sokkal érzőbb kedély, semhogy személyesen el bírná adni.	Trong nhà, còn một vài đồ vật có thể bán được.
Megértettem Micawbernét, s kértem, hogy rendelkezzék velem kedve szerint.	Cậu Copơphin ơi, không biết tôi có thể nhờ cậu được không…"
S még aznap este megkezdtem eladogatni a kisebb ingóságokat; s tettem egy-egy ilyen kirándulást csaknem minden reggel, mielőtt munkába mentem.	Bây giờ tôi đã hiểu bà Micôbơ muốn gì, và tôi yêu cầu bà cứ tận dụng tôi như thế nào cũng được.
Elhordtam őket egyenkint egy antikváriushoz a City Roadra, – a melynek egy része, házunkhoz közel, akkoriban tele volt antikvár-üzlettel és madárkereskedéssel, – s eladtam annyiért, a mennyit adtak értök.	Ông Micôbơ có một ít sách ở trên một cái tủ áo nhỏ mà ông gọi là cái "thư viện" của ông và những vật này được mang đi trước.
Az antikvárius, a ki egy kis házban lakott az üzlete mögött, minden éjjel be szokott rúgni, s a felesége minden reggel csúnyán összeszidta.	Tôi lần lượt mang hết quyển này đến quyển khác, đến một hàng sách ở đường Đô-thị (một phần của con đường này cạnh nhà chúng tôi lúc bấy giờ gồm toàn là hàng sách và hàng bán chịu) và họ trả bao nhiêu thì tôi bán bấy nhiêu.
Nem egyszer, mikor korán mentem oda, összehajtható ágyában fekve fogadott, homlokán sebhelylyel vagy kékre dagadt szemmel, a múlt éjszakai tivornya bizonyságáúl.	Chủ hiệu sách này sống trong một cái nhà nhỏ ở đằng sau hiệu, đêm nào cũng say bí tỉ và sáng nào cũng bị vợ mắng nhiếc thậm tệ.
Néha elveszítette a pénzét, s ilyenkor arra kért, hogy jöjjek máskor; de a feleségének mindig akadt egy kis pénze – azt hiszem, elvette az urától, mikor be volt rúgva, – és titokban megkötötte velem az üzletet a lépcsőn, mikor együtt lefelé mentünk.	Đôi khi, ông bỏ mất tiền và bảo tôi lần khác lại đến; nhưng bà vợ bao giờ cũng có một ít tiền - tôi có thể nói rằng bà lấy tiền của chồng trong khi ông ta say - đã bí mật giải quyết xong việc buôn bán này ở cầu thang gác khi chúng tôi cùng nhau bước xuống cầu thang.
Nemsokára jó ismerős lettem a zálogházban is.	Tôi cũng bắt đầu thành một nhân vật rất quen thuộc ở hàng cầm đồ.
A főhivatalnok, a ki az asztal mögött foglalatoskodott, igen figyelmesen bánt velem, és gyakran arra kért, emlékszem, hogy deklináljak a fülébe egy latin főnevet vagy melléknevet, vagy konjugáljak egy latin igét, mialatt lebonyolítja velem az üzletet.	Người làm công chủ yếu làm việc đằng sau quầy rất chú ý đến tôi và tôi nhớ ông thường bắt tôi đọc cho ông nghe hệ biến cách của một danh từ hay một tính từ la-tinh trong khi ông ta mua đồ của tôi.
Ilyen alkalmakkor Micawberné mindig egy kis lakomát rendezett, rendszerint vacsorára, és jól emlékszem, milyen pompásan elmulatoztunk.	Sau mỗi lần việc giao dịch như vậy, bà Micôbơ tổ chức một bữa tiệc nhỏ, thường thường là bữa ăn tối, những bữa ăn này có một hương vị đặc biệt mà tôi còn nhớ rất rõ.
Micawber úr anyagi zavaraiban végül beállt a válság, s egyszer korán reggel letartóztatták és bevitték őt a boroughi King’s Bench-fogházba.	Cuối cùng, những khó khăn của ông Micôbơ đã đi đến mức nguy ngập và một buổi sáng, từ sáng sớm ông ta đã bị bắt đưa đến nhà tù Tối cao Pháp-viện ở khu phố.
Távozás közben odaszólt nekem, hogy most már lehunyt a nap istene, – s én valóban azt gondoltam, hogy megszakad a szíve s vele együtt az én szívem is.	Khi bước chân ra khỏi nhà, ông nói với tôi rằng ông đến ngày mạt vận, và tôi cũng thành thực tin rằng ông tan nát và lòng tôi cũng vậy.
De később hallottam, hogy még aznap délelőtt virágos kedvében látták tekézni.	Nhưng sau đó, tôi lại nghe rằng người ta thấy chiều hôm ấy ông ta chơi cầu trụ rất vui vẻ.
A legközelebbi vasárnap, letartóztatása után, úgy volt, hogy meglátogatom és együtt ebédelünk.	Ngày chủ nhật đầu tiên, sau khi ông Micôbơ bị đem đến đấy, tôi có nhiệm vụ đến thăm và ăn trưa với ông.
Elmagyarázták, hogy ilyen meg ilyen tér után kérdezősködjem, a melynek a tőszomszédságában látok majd egy másik ilyen meg ilyen teret, s ennek a tőszomszédságában egy udvart, ezen vágjak keresztűl s azután menjek egyenesen előre, a míg meg nem látok egy börtönőrt.	Tôi phải hỏi đường đến một nơi nào đó nhưng trước khi đến đấy tôi phải đến một nơi khác, và trước khi đến cái nơi thứ hai này tôi phải đi qua một cái sân và cứ đi thẳng mãi cho đến lúc gặp người cai ngục.
és eszembe jutott, hogy mikor Roderick Random az adósok börtönébe került, volt ott egy ember, a kin nem volt egyéb, mint egy ócska takaró, a szívem sebesebben kezdett verni, s a börtönőr elmosódott könnyes szemem előtt.	Tôi nghĩ đến việc Rôđơrích Ranđơm xưa kia cũng ở tù vì nợ và con người chỉ có một mảnh giẻ rách che thân ở cùng với ông, rồi mắt tôi mờ đi, tim tôi đập mạnh, hình ảnh người cai ngục trôi bập bềnh trước mắt tôi.
Micawber úr várt már a kapuban, s fölmentünk szobájába, (az utolsóelőtti emeletre), és keservesen zokogtunk.	Ông Micôbơ đang đợi tôi ở đằng sau cánh cổng, và chúng tôi bước lên phòng ông (tầng gần cuối) và chúng tôi khóc sướt mướt.
Emlékszem, ünnepélyesen a lelkemre kötötte, hogy vegyek példát az ő sorsáról, és jegyezzem meg, hogy az, a kinek húsz font az évi jövedelme, s csak tizenkilencz fontot és huszadfél shillinget költ, boldog ember lesz, az ellenben, a ki huszonegy fontot költ, nyomorúságos véget ér.	Tôi nhớ ông Micôbơ trịnh trọng khuyên tôi hãy nhìn đời ông đấy mà làm gương và phải biết rằng nếu một người một năm kiếm được hai mươi bảng mà tiêu mười chín bảng, mười chín si-linh và sáu pen-ni thì anh ta sướng nhưng nếu tiêu hai mươi bảng một pen-ni thì anh ta sẽ khổ cực.
Ezután kölcsön kért tőlem porterra egy shillinget, irásbeli utalványt adott az összegről a feleségéhez, s miután eltette a zsebkendőjét, megint jókedvű lett.	Ngay sau đó, ông ta vay tôi một si-linh để mua bia đen uống, viết một cái giấy cho bà Micôbơ trả số tiền ấy rồi lại bỏ khăn tay vào túi có vẻ cao hứng.
Egy kis kandalló előtt üldögéltünk, a melynek rozsdás rostélyán jobbról-balról egy-egy tégla volt, hogy ne fogyaszszon túlságosan sok szenet, – a míg egy másik adós, a ki szobatársa volt Micawber úrnak, meg nem érkezett a sütőből az ürüczombbal, közös költségen szerzett ebédünkkel.	Chúng tôi ngồi trước một ngọn lửa nhỏ với hai viên gạch đặt ở trong hàng song sắt gỉ, mỗi viên một bên để không đốt quá nhiều than, cho đến lúc một người mắc nợ khác cùng ở một phòng với ông Micôbơ ở lò bánh mì về tay cầm một miếng thịt cừu làm bữa ăn chung tiền của chúng tôi.
Ezután fölküldtek a fölöttünk lévő szobába, "Hopkins kapitány"-hoz, azzal az üzenettel, hogy Micawber úr tiszteletét küldi fiatal barátjával, s arra kéreti Hopkins kapitányt, legyen szíves kést meg villát kölcsönözni.	Rồi người ta đưa tôi lên gặp "Đại úy Hốpkinx" ở phòng tầng trên với lời chào của ông Micôbơ để nói rằng tôi là người bạn trẻ của ông ta và nhờ "Đại úy Hốpkinx" cho tôi mượn một con dao và một cái nĩa.
Hopkins kapitány kölcsönadta a kést meg a villát, s ugyancsak tiszteletét küldte Micawber úrnak.	"Đại úy Hốpkinx" đưa dao, nĩa cho tôi và gửi lời chào ông Micôbơ.
Egy nagyon mocskos hölgy volt a kapitány kis szobájában, meg két sápadt, boglyas fejű lány, a kapitány leányai.	Trong phòng nhỏ này có một bà rất bẩn thỉu và hai cô gái đầu bù tóc rối.
Azt gondoltam, hogy Hopkins kapitánytól kést meg villát csakugyan tanácsosabb kölcsönkérni, mint fésűt.	Tôi nghĩ bụng đến mượn dao và nĩa của "Đại úy Hốpkinx" hơn là mượn lược của ông ta.
A kapitány maga, nagy pofaszakállával, ócska barna felsőkabátjában, alatta másik kabát nélkül, elképzelhetetlenül toprongyos alak volt.	Tôi thấy cái giường của ông ta được quấn tròn ở một góc phòng và tất cả cái gì gọi là bát đĩa và bình đặt ở trên một cái giá.
Nagy félénken nem álltam ott tovább a küszöbén néhány percznél; de mikor megint lementem, mindezt oly bizonyosan tudtam, a mily bizonyos volt az, hogy kezemben van a kés meg a villa.	Tôi chỉ đứng rụt rè ở ngưỡng cửa nhiều lắm không quá hai phút, nhưng tôi đi xuống với điều nhận xét ấy và tôi cũng tin chắc chắn như tin rằng con dao và cái nĩa đang nằm trong tay tôi.
Mindentől eltekintve, az egész ebéd czigányosan kellemes volt.	Dẫu sao, bữa ăn trưa ấy cũng có một cái gì giang hồ phiêu lãng và thú vị.
Korán délután visszavittem Hopkins kapitány kését meg villáját, és hazasiettem, hogy megnyugtassam Micawbernét látogatásom eredményével.	Tôi lại mang trả dao nĩa cho "Đại úy Hốpkinx" rất sớm vào buổi chiều và về nhà cho bà Micôbơ nghe câu chuyện đi thăm của tôi để an ủi bà.
Elájúlt, mikor viszontlátott; de később egy kis kancsó tojásos sört melegített, hogy legyen mivel vígasztalódnunk, mialatt a történtekről beszélgettünk.	Bà ngất đi khi thấy tôi trở về, sau đó bà nấu một bình nước trứng gà để an ủi chúng tôi trong khi trò chuyện.
Nem tudom, hogy’ esett, hogy a lakásberendezést a család javára eladták, sem azt, hogy ki adta el; csak azt tudom, hogy én nem.	Tôi không hiểu đồ đạc trong nhà được bán đi để giúp gia đình này bằng cách nào và ai bán đi, tôi chỉ biết một điều là tôi không làm.
De eladták, s bútorszállító kocsin elszállítottak mindent, az ágyon, néhány széken s a konyhaasztalon kívül.	Tuy vậy, tất cả đều được bán đi và chở đi trong một cái xe ba gác, chỉ để lại cái giường, cái ghế và cái bàn ở nhà bếp.
Ezzel a pár darab ingósággal úgy a hogy’ berendezkedtünk a Windsor Terrace-i üres ház két szobájában: Micawberné, a gyerekek, a szegény árva meg én; s ott éltünk éjjel-nappal.	Kết quả chúng tôi di chuyển với những tài sản ấy đến ở hai phòng khách của gian nhà trống ở phố Uynxơ Terâyxơ.
Sejtelmem sincs róla, mennyi ideig, bár úgy rémlik, hogy nagyon sokáig.	Bà Micôbơ, bọn con và cô con gái mồ côi và tôi sống ở đấy cả ngày lẫn đêm.
Végül arra határozta el magát Micawberné, hogy ő is behurczolkodik a fogházba, a hol Micawber úr azóta szerzett már magának külön egy szobát.	Tôi không có một khái niệm nào về chỗ chúng tôi ở đấy bao lâu mặc dầu tôi có cảm tưởng đã sống một thời gian dài.
