HOMÉROSZ	Homer
Erre eképen szólt a sokattűrt isteni férfi:	Bởi thế bây giờ nhà đầy kẻ thù.
bármilyen éleseszű, ha az isten nem maga jön, hogy	Chỉ cho mình bà biết, rồi trở về, con ở đây đợi.
"Télemakhosz, mikor itt van apád bent, már nem is illik	Nhưng thôi, nói ta hay, rành mạch, đừng giấu giếm.
Így szólván le is ült; ráomlott Télemakhosz most,	Trao tin xong bố quay về tức khắc.
hős apjára borult, zokogott és könnyei hulltak.	Đừng cất công xuống quê gặp lão công.
és a sasoknál is, melyeknek gyermekeit még	Nữ tỳ sẽ nói cho lão công hay."
S tán a nap is zokogásuk közben száll le az égről,	Đầu mục vừa rời nông trại Athena theo dõi khít khao xuất hiện.
míly bárkán?	Chỉ Odysseus thấy.
s magukat kiknek vallják dicsekedve?	Telemachos không thấy.
Mert hisz, hogy gyalog érkeztél ide, vélve se vélném."	Vì mắt trần không thấy thần linh xuất hiện.
mindenkit hazahordanak ők, aki partjukat éri;	Athena chau mày làm dấu.
s ők Ithakába kitettek, igenszép kincseket adtak, ércet arannyal bőven, szép szőtt drága ruhát is.	Nhận ra bèn rời nhà băng qua sân tường vây xung quanh, Odysseus tiến tới đứng trước mặt.
Válogatott fiatalság jött ide Dúlikhionból,	Biến đổi xong xuôi nữ thần biến dạng.
ötvenkét ember, hat szolga követte csapatjuk;	Odysseus trở lại ngôi nhà lụp xụp.
végre tizenkét legderekabb lakik itt Ithakában,	Quần áo khác hẳn; nước da thay đổi.
és két szolgalegény, ki az étkeket osztani szokta.	Phải chăng quý khách là thần linh sống trên trời bao la?
s szólj, ki jöhet készséggel a kettőnk oldala mellé."	"Ta không phải thần linh," Odysseus nhẫn nhục, kiên trì đáp.
Erre eképen szólt a sokattűrt isteni férfi:	"Tại sao nghĩ ta là bất tử?
S hogyha a házban megcsúfolnak, tűrje a kedves	Không có Odysseus nào khác xuất hiện ở đây.
szíved a kebledben, bármíly csúf dolgok is érnek,	Chỉ có ta, ta là bố con, Odysseus con thấy trước mắt!
Majd amikor javasolja a bölcseszü Pallasz Athéné,	Dứt lời Odysseus ngồi xuống.
jelt adok én a fejemmel néked, s észre ha vetted,	Telemachos vung tay ôm cổ thân phụ quý mến rên rỉ, nghẹn ngào.
megfeketült már mindje, ahol csak a láng lehe érte.	Tay chèo nói họ là người xứ nào?
S még mást is bevetett, komolyabbat, eszembe Kroníón:	Bởi con nghĩ bố không thể cuốc bộ đến đây."
elrútítva: a vas maga vonja magához az embert."	Người Phaikian đưa ta tới đây.
Mást mondok neked én, te pedig vesd jól a szivedbe.	Suốt thời gian đó ta ngủ li bì.
csak te meg én vizsgáljuk az asszonyok indulatát most. S tán még szolgáink közül is próbára tehetjük	Nhưng trước hết con đếm, kể tên lần lượt để ta biết chúng thế nào, bao nhiêu tất cả.
Kérlek hát, fürkészd ki az asszonyokat, valahányat:	Ngay đây và bây giờ con nói bố hay sức mạnh của chúng.
társaival mely Télemakhoszt hazahozta Püloszból.	"Ta sẽ nói con hay," Odysseus dáng vẻ chịu đựng tiếp lời.
Ott azután, hogy a mélyöblű kikötőbe kerültek,	"Lắng nghe và hiểu cho kỹ!
város iránt küldötte, nehogy szívében a büszke	Ngày mai rạng đông mới ló, con về nhà trà trộn với chúng.
És miután mit rábíztak, mindent kijelentett,	Dĩ nhiên chúng không nghe, nhưng ngày tận số đã tới!
ment el a disznaihoz, s odahagyta a kertet, a termet.	Và điều này cũng nên nhớ nằm lòng.
Bosszankodtak a kérők, csüggedt nyomban a lelkük,	Lúc Athena mưu lược thôi thúc, ta sẽ gật đầu.
a legjobb barna hajót vontassuk a vízre,	Lửa bén cháy xạm.
látták, hogy jön a gálya, de nem tudták utolérni."	Chỉ có ta và con quan sát nữ tỳ xem tư cách chúng thế nào.
már most: el ne kerülje kezünket; mert sose hinném,	Hai cha con cứ thế trao đổi ý kiến.
Hogyha pedig nem tetszik e szó, és vágyatok az, hogy	Hay tin đám cầu hôn hoảng hốt, bực tức ra mặt.
kit neki sorsa jelölt, s ki a legtöbb kincset igéri."	Ngô bối cứ đinh ninh nó thất bại.
hozta a kérőket, s kit Pénelopé a leginkább	Họ về rồi, trong bến kia kìa.
Így szólt Amphinomosz, s mindnek tetszett a beszéde.	Antinoos công tử Eupeithes cất tiếng: "Lạ thật!
Hát fölemelkedtek, s Odüszeusz házába vonultak,	Tại sao thần linh cứu nó thoát hiểm?
azt, hogy megjelenik dölyfös kérői körében;	Ban đêm ngô bối không ngủ trên bờ.
Indult hát a terembe, s a szolgálói követték.	Trong khi đó thần linh đưa nó về nhà.
mert a Taphosz-beli tengeri rablók népe közé állt	Khi nghe ngô bối tàn ác, dân chúng sẽ không tha thứ.
Azt mondom: ne tovább!	Ai về nhà nấy.
Mert olyan ember nincs, de nem is lesz, nem születik meg,	Hắn nói, mọi người nín thinh.
mert hiszen engem a városdúló bajnok Odüsszeusz	Penelope thấy gã nói năng dễ nghe hơn cả vì ý thức và thận trọng.
Éppenezért jobban szeretem mindenki fiánál	Trước hết ngô bối phải tìm hiểu ý định thần linh.
s drága uráért sírt, Odüszeuszért, mígcsak az édes	Tới nơi tất cả an tọa trên ghế bành bóng lộn.
Ekkor a kondáshoz legelőször Télemakhosz szólt:	Ta thấy ngươi không phải vậy.
A városban mik a hírek?	Ôi kẻ rồ dại!
Leshelyeikről tán hazatértek már ama bátor	Vì sao âm mưu hạ sát Telemachos?
városon is túl, fönt, hol a Hermész halma magaslik,	Họ muốn phanh thây, moi gan, móc ruột, chia nhau tài sản.
egy gyorsröptü hajót: volt rajta sok ember, egészen	Nhưng Odysseus can thiệp, ngăn cản dẫu họ điên tiết.
Télemakhosz, kedves fia isteni hős Odüszeusznak;	Máu kẻ đó sẽ tuôn chảy nhuộm đỏ thương đồng.
"Elmegyek én városba, apó, hogy az édesanyám már	Bởi vậy Telemachos là người thân thiết nhất đời!
ételt kolduljon: majd ad neki az, ki akarja,	Penelope lui gót lên lầu.
már ha a tűznél megmelegedtem, a nap heve is nő:	Tin ngoài đó lúc này thế nào?
mert a ruháim igen gyatrák, s félek, leigázhat	Nhóm cầu hôn cao ngạo phục kích về chưa?
engem a hajnali fagy; s mondtátok: messze a város."	Hay chúng vẫn nằm đó chờ con trở về?"
s ő maga ment és kőküszöbét átlépte a háznak.	Phần riêng ta biết chuyện khác, vì thấy tận mắt.
és szeretettel csókolták a fejét meg a vállát.	Ta nghĩ chắc hẳn bọn chúng, song không thể khẳng định."
Bizony nem	Khúc 17
s szolgálóiddal fölső házadba vonulva,	Do vậy con muốn bố lo giùm việc này.
hogyha segít bosszúnkat véghezvinni a nagy Zeusz.	Đưa quý khách bất hạnh ra ngoài đó ăn xin.
szívesen és becsüléssel, amígcsak nem megyek érte."	Người qua đường sẽ cho mẩu bánh, hớp nước.
hogyha segíti a bosszút véghezvinni a nagy Zeusz.	Nếu hay ý định mà bất bình kệ quý khách!
S Télemakhosz kifelé lépdelt már, végig a termen,	Vốn chân phương con chỉ muốn nói thẳng và nói thật."
"Télemakhosz, házamba menessz el nőket azonnal,	Quý hữu cứ việc lên đường.
titkon emésztenek el, vagyonom szétosztva maguk közt,	Quý hữu lại cho biết từ đây ra đó đường xa không gần."
s ők léptek ki a kádbol, a trónszékekre leültek.	Nước mắt giàn giụa vú già chạy ra nhìn mặt.
szép szinarany kancsót az ezüst tálkába ürítve,	Lát sau nữ tỳ bu quanh, tíu tít âu yếm hôn đầu, hôn vai.
akkor okosszivü Pénelopeia fogott a beszédbe:	Telemachos yêu quý nhất đời!
Népek pásztora Nesztórhoz mentünk mi Püloszba;	Con ra quảng trường tìm khách lạ đi theo từ Pylos tới đây.
s én neki őszintén mindent elmondtam egészen.	Ba người vồn vã hỏi chuyện chuyến đi.
óhajtják heverőhelyül ők, akik annyira gyávák.	Nhận ra khách lạ Telemachos đứng dậy tức thì chào hỏi.
s mindkettőnek a csúfos véget hozza magával,	Ta chưa biết sự thể kết liễu ra sao.
Tudja tehát meg Zeusz legelőbb, meg a vendégasztal,	Hai người đưa tay với món ăn ngon lành bày trước mặt.
jóldöngölt talajon, nagy dölyffel, akár ezidáig.	Ngài và các hoàng tử săn sóc hết sức chu đáo.
Közben meg a kondás	đau đớn thay!
és Odüszeusz a tanyán készült városba vonulni.	Bọn hèn nhát muốn ngủ trên giường người dũng cảm!
hagynálak szivesebben, hogy légy őre az ólnak;	Ô Cha Chúa tể, ô Athena, ô Apollo!
Eumaiosz meg a furkót adta kezébe, amit kért.	Dọ hỏi xong xuôi con trở về.
élemedett, nyomorult koldusként járta az ösvényt,	Nghe Telemachos kể Penelope xúc động khôn xiết.
járva a városnak, szép tisztavizű, bekerített	Bỉ nhân tiên đoán đúng sự thật, không giấu giếm.
Én mondom neked, és úgy lesz, ahogyan kijelentem:	Quý khách biết phần riêng phàm phu muốn quý khách ở lại trông nom nông trại.
végig a sok zsámoly s bordáját jól legyalulja." Szólt, s amikor közelért, nekiugrott, sarka hegyével	Quý khách thấy khoảng ngày tốt đẹp đã qua, chẳng mấy nỗi đêm xuống, trời đổ lạnh."
rontson-e furkójával rá és elvegye lelkét,	Vậy khởi hành, thẳng tiến!
"Forrásnimfák, Zeusz lánysarjai, hogyha Odüsszeusz	Eumaios đưa cây gậy vừa hỏi.
jőjjön már haza ő, ide vissza vezesse a daimón;	Eumaios cứ thế đưa chủ nhân ra thành phố.
párkánnyal, fallal; remekül-záró kapujának	Nghe ta nói, rồi ra mi thấy ta nói không sai.
csak ne időzz idekint hosszan, mert még aki meglát,	Mục phu chăn dê Melanthios lớn tiếng: "A!
megdob, vagy meg is üt.	khiếp chưa!
Kérlek, gondold meg e dolgot."	Chó dại hóa điên hả?
Sóvár gyomrunkat sose tudjuk rejteni úgysem,	Đúng lúc ấy Odysseus và đầu mục tới nơi.
s törnek a meddő tengeren át ellenfeleikre."	Phemios vừa dạo ca khúc.
Ők egymással ilyen szavakat hallatva beszéltek; s fölpillantva hegyezte fülét az amott heverő eb,	Nắm cánh tay đầu mục Odysseus nói nhỏ: "Ê, Eumaios, chắc hẳn đây là cung điện Odysseus!
egykoron, ám nem örült neki ő maga: mert hamarabb ment	Thoáng nhìn nhận ra tức thì dù ở lẫn ngôi khác.
szent Trójába.	Lầu nối lầu!
űzni a vadkecskét, a nyulat, meg az őzet az erdőn;	Sân sướng khuôn vuông ngoạn mục!
most pedig ott nyúlt el - ki se gondolt rá, hisz a gazda	Lưng tường, gờ viền lạ chưa!
elment - kertajtó mellett, öszvérnek, ökörnek	Cửa hai cánh chắc nịch!
bő trágyájában, mit mind odahordtak Odüsszeusz	Không ai có thể phá thủng chui vào.
vagy pedig úgy tartották csak, mint szoktak az asztal	Hay nếu muốn, quý khách ở ngoài, phàm phu vào bên trong?
mellett tartani némely ebet, dicsekedni, a gazdák."	Nhưng dù thế nào cũng làm ngay đừng chần chừ!
Volna olyan csak most is még mozgása, alakja,	Vậy quyết định."
már nem akarnak semmit rendesen elvégezni:	Bây giờ thêm chút nữa cũng không sao!
szembe letette, leült rá.	Nó nằm đó, bọ lúc nhúc.
Ekkor elébe a hírnök	Odysseus đến gần.
húsdarabot s a kosárkából kiemelt kenyeret tett.	Nó nhận ra, quẫy đuôi, rủ tai, song không còn sức nhích tới.
Rögtön utána a hős Odüszeusz lépett be a házba,	Odysseus nhìn thấy, quay đi, lau nước mắt.
nincstelen embernek sose hasznos társa a szégyen."	Nó đánh hơi, dò mồi tài lắm!
mert biz a koldusnak, sose hasznos társa a szégyen." Válaszul erre eképen szólt leleményes Odüsszeusz:	Chúa tể nhìn xa trông rộng bứt bỏ nửa phần giá trị từ lúc thế nhân rơi vào vòng nô lệ."
én bizony ezt a silány idegent már láttam előbb is.	Người khốn khó khi cần chẳng nên e thẹn, ngượng nghịu."
Mert hisz a kondás volt, aki erre vezette az úton;	Vừa nghe Eumaios bước đi liền.
mert idegyűlnek a vendégek; s most ezt idehívod?"	Odysseus ăn xong cũng là lúc thi sĩ ca công ngừng biểu diễn.
Erre te, Eumaiosz kondás, így adtad a választ:	Đám cầu hôn reo hò ầm ĩ trong đại sảnh.
"Hallgass már, vele oly hosszan ne kivánj feleselni.	Ngoài ăn mày, liếm đĩa ghê tởm ngô bối còn thiếu hành khất hay sao?
Inkább fogd és adj; nem irígylem; kérlek is erre.	Người như thế là người đáng vời khắp nơi trên trần gian bao la.
Édesanyám, vagy tán valamely szolgája előtt ezt	Không ai bỗng dưng rước ăn mày vào nhà ăn cho hết của cải!
három hónapig is kikerülné ő palotádat."	Không cần trả lời dài dòng.
Mégis, a többi adott kenyeret, húst, és az iszákját	Quý ông muốn bản nhân xẵng lời xua đuổi khách lạ ra khỏi đại sảnh.
megtöltötték.	Ôi chao!
ott ízlelni ajándékát az akháj daliáknak,	Trời cao không cho phép bản nhân làm vậy!
"Kedvesem, adj.	Không!
éppenezért másnál több ételt illik is adnod; én meg jóhíred hordom majd szerte a földön.	Quý ông cứ lấy của cho khách lạ bản nhân không trách cứ, bản nhân khuyến khích!
Ámde lesujtott Zeusz Kronidész - oka volt bizonyára:	Tiếc thay trong lòng quý ông nào nghĩ như thế.
S villámszerető Zeusz	"Công tử nói gì vậy?
Ott azután sokat öltek meg közülünk hegyes érccel,	Cầu hôn khác cho thịt, bánh mì, bị đầy ắp.
"Míly rossz szellem hozta el ezt, lakománk busitóját?	Do vậy quý ông hẳn phải bố thí phần ăn nhiều hơn người khác.
Állj a középre, az asztalomat jó messzire hagyd el,	Bỉ phu sẽ ca ngợi khắp trái đất bao la.
"Jaj, te bizony szép vagy, de a szépségedhez eszed nincs.	Bỉ phu hạ neo cắm thuyền mũi cong trên sông Egyptos.
"Most már azt hiszem én, sosem indulsz innen a házból	Tiếng kêu la lan nhanh tới thành phố.
vissza te épségben, hogy szídni-gyalázni se restelsz."	Rạng đông vừa ló nghe thấy dân chúng gọi nhau đổ ra như nước chảy.
Eupeithész fia, Antinoosz neki válaszul így szólt:	Ngươi là tên ăn mày trơ trẽn, táo tợn!
lábadnál s a kezednél s szétmorzsolnak egészen."	Odysseus lanh trí lui lại, song tiếp lời: "Trời đất ơi!
Szólt; de bizony megbotránkoztak a többiek erre.	Bề ngoài bảnh bao không đi đôi với lòng dạ bần tiện!
mit tettél?	Antinoos nổi giận.
megdobták odalenn, s szólt szolgálói körében:	Bỉ phu có điều ấm ức trong lòng muốn nói.
tartottam: hozzám menekült legelőbb a hajóról,	Đặc biệt Antinoos hệt bóng ma hắc ám gieo rắc chết chóc.
s hányódván a vizen; s állítja, hogy ő Odüszeuszról	Vẻ mặt cho thấy khách lạ thăm thú nhiều nơi."
Válaszul így szólt most az okosszivü Pénelopeia:	Nếu kể chuyện, khách lạ sẽ khiến nương nương say mê.
Íkariosz lányának, okosszivü Pénelopénak; ismerem én férjét, hiszen együtt hordtuk a bút-bajt;	Đầu mục không thấy quý tử của ta hắt hơi là điềm lành đối với những gì ta nói hay sao?
Hisz most is, mikor engem, amint idejöttem a házba,	Không đứa nào thoát thân.
megbántott ez a férfi, pedig gonoszat sose tettem,	Còn điều nữa ta muốn nói nhớ kỹ đừng quên.
szégyel időzni?	Ai có lòng sẽ cho."
TIZENNYOLCADIK ÉNEK	Odysseus dứt lời.
ODÜSSZEUSZ ÉS ÍROSZ ÖKÖLHARCA	Nghe xong đầu mục bước đi.
nem volt izmos-erős, de a termete szemre magas volt.	Đầu mục chưa dẫn lên à?
Arnaiosz - legalább így hívta az anyja, az úrnő,	Khách lạ làm vậy nghĩa là thế nào?
