HENRYK SIENKIEWICZ	Henryk Sienkiewicz
Idrisz végre belátta, hogy nincs más menekülés, mint felülni a tevékre és vágtatni a vihar irányában.	Mãi sau, Iđrix hiểu rằng, cứu cánh cuối cùng là ngồi lên lạc đà và phi theo chiều gió.
De ez azt jelentette volna, hogy visszamennek Faiyum felé, ahol az egyiptomi bíróság és az akasztófa várt rájuk.	Song điều đó cũ ng có nghĩa là quay lại phía Phaium, nơi toà án Ai Cập cùng giá treo cổ đang chờ chúng.
- gondolta Idrisz.	Biết làm thế nào?" - Iđrix nghĩ thầm.
- Az orkán az üldözőket is feltartóztatta, s mihelyt eláll, újra nekiiramodunk dél felé.	- "Cơn bão cũng sẽ cản chân bọn đuổi theo, khi nào nó ngớt, ta sẽ lại quay về phía Nam".
Aztán kiáltozni kezdett, hogy üljenek fel a tevékre.	Và hắn bắt đầu thét gọi đồng bọn lên lưng lạc đà.
Ekkor azonban olyasvalami történt, ami teljesen megváltoztatta a helyzetet.	Khi ấy chợt xảy ra một điều làm cho tình thế thay đổi hoàn toàn.
A homályos, csaknem fekete homokfelhőket egyszerre csak kékes fény világította át.	Đột nhiên có một thứ ánh sáng mờ xám chiếu xuyên qua những đám mây tối tăm gần như đen.
A sötétség még sűrűbb lett, de ugyanakkor valahol a magasban felébredt a vihar által felzavart mennydörgés, s hatalmasan, fenyegetően, szinte félelmetesen száguldott végig az arábiai és líbiai sivatag között.	Rồi đó, bóng tối lại trở nên dày đặc hơn, nhưng đồng thời, sấm ngủ trên cao, bị gió lốc đánh thức dậy, bắt đầu lên tiếng trong vùng nằm giữa Sa mạc Ả Rập và Sa mạc Libi, tiếng sấm to, dữ dằn, có thể nói là thịnh nộ.
Olyan volt ez, mintha sziklák és hegyek gördülnének alá az égből.	Ngỡ như từ trời cao, những trái núi và những tảng đá đang lăn sầm sập xuống.
A fülsiketítő harsogás egyre erősbödött, nőtt, megremegtette a világot, átfogta az egész láthatárt, helyenként oly vad erővel robbant ki, mintha az égboltozat omlana lefelé a földre - azután ment tovább, szakadatlan tompa dübörgéssel: ismét kirobbant, majd ismét megtört, vakító villámokat szórt, sziklákat hasogatott, lejjebb szállt, majd felemelkedett, bömbölt, és szünet nélkül harsogott tovább.7	Tiếng sấm điếc tai mỗi lúc một mạnh thêm, lớn lên, làm rung chuyển cả thế giới, chạy quanh vòm trời, đôi chỗ bùng nổ với một sức mạnh khủng khiếp, tưởng như cả vòm trời bị vỡ vụn ra, đổ sụp xuống trái đất, rồi tiếp đó, lại lan đi với tiếng ầm ù trầm đục kéo dài, để rồi lại bùng nổ, lại đứt gẫy thành những tia chớp giật nhoáng nhoàng, những là n sét chết người, hạ xuống thấp, dâng lên cao, gầm gào và kéo dài.
A szél ijedtében elcsendesült, s ha valahol a távolban az ég kapui becsapódtak egy-egy villámlás után, halálos csend lett.	Gió lặ ng đi như kinh hoàng, rồi một lúc sau, khi từ một nơi nào đó vô cùng xa thẳm, cổng trời sập then lại sau lưng lũ sấm, và một sự im lặng chết chóc bao trùm.
Kis idő múlva e néma csendben felhangzott a vezető kiáltása:	Song một giây sau, tiếng của người dẫn đường vang lên trong bầu tĩnh mịch đó:
- Az Úr hatalmasabb a szélviharnál!	- Thượng đế thống trị cả bão lốc!
Meg vagyunk mentve!	Chúng ta được cứu sống rồi!
Elindultak.	Họ lại lên đườ ng.
De olyan áthatolhatatlan sötétség vette őket körül, hogy jóllehet a tevék szorosan egymás mellett haladtak, az emberek nem látták egymást, s folytonosan kiabálniuk kellett, hogy valamiképpen el ne tévedjenek.	Song bao phủ họ là một bóng tối đen như mực, đến nỗi mặc dù lũ lạc đà chạy rất gần nhau, đoàn người vẫn không trông thấy nhau, và thỉnh thoảng họ lại phải kêu to lên để không lạc nhau.
Időnként egy-egy kékes vagy vöröses fényű villám világította meg a homoktengert, de utána megint sűrű, szinte kézzel tapintható sötétség támadt.	Thỉnh thoảng, một tia chớp màu đỏ, hoặc xanh lét soi rõ khoảng không gian đầy cát nhưng khi chúng biến đi, bóng tối lại càng trở nên dày đặc hơn, đến nỗi muốn đi phải giơ tay sờ soạng.
A vezető kiáltása lelket öntött ugyan az emberekbe, de mégsem nyugodtak meg egészen, mert a teljes sötétségben nem tudták, nem forognak-e körben, vagy éppen nem észak felé haladnak-e. A tevék lassan botladoztak, és oly nehezen, hangosan lihegtek, mintha az egész sivatag zihálna félelmében.	Mặc dù niềm hưng phấn mà tiếng kêu của người dẫn đường đã gieo vào lòng bọn Xuđan, song chúng vẫn còn lo lắng, chính vì chúng đang mò mẫm, hoàn toàn không biết đi về phía nào, không biết liệu chúng có đi lộn lại thành vòng tròn, hoặc đi về phía Bắc hay không.
- Khor!...	- Khe cạn!...Họ đang đứng trên bờ khe núi.
A khor széles volt, fenekét kövek borították, a kövek között tüskés, törpe bokrok burjánzottak.	Khe cạn rộng rãi, lòng khe trải đầy đá, giữa các tảng đá là những lùm cây gai góc lùn choằn choằn.
Déli falát meg-megtörő omladékos sziklák alkották.	Tường phía Nam của khe là những vách đá cao đầy vết nứt và đứt gãy.
Az arabok mindezt a távolodó, de egyre sűrűbb villámlások fényénél látták meg.	Bọn Ả Rập nhận ra điều đó trong ánh sáng của những tia chớp lặng lẽ nhưng mỗi lúc một loé ra thường xuyên hơn.
Csakhamar felfedeztek a sziklafalban egy alacsony barlangfélét vagy inkább tágasabb bemélyedést, melyben az emberek könnyen elfértek, s a zápor elől menedéket találhattak.	Chẳng bao lâu sau, chúng đã phát hiện ra trong bức tường đá ấy một cái hang nông lòng, hay nói đúng hơn là một cái hàm ếch rộng rãi, trong đó, nhóm người có thể dễ dàng trú ngụ một cách thoải mái để tránh mưa to.
A tevék is kényelmesen elhelyezkedtek a barlang melletti sík magaslaton.	Lũ lạc đà cũng được bố trí trên một mô cao ngay trước hang.
A ritkás, kövér esőcseppek egyre hullottak, de a zápor csak akkor eredt meg, mikor az emberek már elhelyezkedtek a barlangban éjszakai pihenőre.	Những giọt mưa đơn độc to tướng vẫn rơi không ngừng, nhưng mãi tới khi cả đoàn đã nằm nghỉ ngơi thoải mái rồi thì cơn mưa to mới thật sự bắt đầu.
Eleinte mintha cérnaszálak, majd kötelek estek volna, végül azonban úgy nekieredt, mintha egész patakok zúdultak volna lefelé a magasban úszó, láthatatlan felhőkből.	Ban đầu nước chả y như những sợi dây nhỏ, sau đó như những dây thừng, và cuối cùng, có thể ngỡ như cả những dòng sông trút từ những đám mây vô hình trên bầu trời xuống đất.
Ilyen zápor néhány évben egyszer fordul elő, s még télen is megduzzasztja a csatornák és a Nílus vizét, s Adenben megtölti a hatalmas ciszternákat, melyek nélkül a város el sem lehetne.	Đó chính là cơn mưa rào thường vài năm mới có một lần, khiến cho ngay trong mùa đông, nước sông Nin và trong các dòng kênh cũ ng lên to, đồng thời làm đầy các bể chứa nước khổng lồ ở Ađen; thiếu những bể chứa ấy thì thành phố này không thể tồn tại được.
Staś még soha életében nem látott ilyet.	Trong đời mình, Xtas chưa hề được thấy một thứ gì tương tự như thế.
A szakadék alján patak csörgedezett, a barlang bejárata elé függönyt vont a szakadó zápor, s körös-körül mindenütt csak locsogás és csobogás hallatszott.	Dưới lòng khe, dòng suối bắt đầu chảy rào rạt, cửa vào hang dường như có một bức rèm nước chắn ngang, chung quanh chỉ nghe toàn tiếng mưa ào ạt và tiếng nước rào rào.
A tevék magaslaton álltak, s így legfeljebb fürdőben lehetett részük, az arabok mégis minduntalan kinézegettek, hogy az állatokat nem fenyegeti-e valami veszély.	Lũ lạc đà đứng trên mô cao, mưa cùng lắm cũng chỉ có thể làm chúng được tắm một bữa, song bọn Ả Rập vẫn thường xuyên ngó ra xem có gì nguy hiểm đe doạ lũ súc vật hay không.
Az embereknek kellemes volt az eső ellen védett, tágas barlang­ban a száraz harasztból rakott tűz körül üldögélniük.	Còn mọi người thật dễ chịu được ngồi trong một cái hang che mưa, bên đống lửa cháy sáng đốt bằng cành gai khô chưa kịp bị mưa thấm ướt.
- Mahdi hatalmasabb minden fehér bőrű varázslónál.	- Đức Mahơđi vĩ đại hơn tất cả bọn phù thuỷ da trắng.
Ő csillapította le a szélvészt s küldte az esőt.	Chính Người đã dập tắt cơn bão và gửi mưa đến đây.
Staś nem felelt, mert Nellel volt elfoglalva, aki már alig pihegett.	Xtas không đáp lại, vì lúc này em đang săn sóc bé Nen, cô bé đang sống dở chết dở.
Először kirázta hajából a homokot, s miután Dinahnak meghagyta, hogy csomagolja szét Nel holmiját, melyet az öreg dajka abban a tudatban hozott el Faiyumból, hogy a gyerekek szüleikhez mennek, egy törülközőt megnedvesített, s megtörülte vele a kislány szemét és arcát.	Trước hết em giũ sạch cát trong tóc cô bé, rồi bảo bà u già Đina mở gói đồ đạc mà bà mang theo từ Phaium đi vì cứ ngỡ bọn trẻ đến với cha chúng, lấy ra cái khăn mặt, nhúng vào nước, lau mắt và mặt cho cô bé.
Hiába mosogatta gyulladásos szemhéját, egyelőre ez sem segített.	Nen ngoan ngoãn tuân theo mọi sự săn sóc của Xtas và chỉ nhìn cậu bé với dáng vẻ của một con chim non quá mệt mỏi.
Nel tehetetlenül tűrte Staś minden igyekezetét, csak nézett rá, mint egy megtépázott madárka, mikor azonban a fiú már cipőcskéit is lehúzta - hogy a homokot kiszórja belőlük, s fekvőhelyét is elkészítette -, Nel mindkét karjával átölelte nyakát.	Mãi tới khi cậu bé tháo đôi giày của cô bé để dốc cát ra rồi trải nệm cho cô bé, cô mới choàng tay ôm vòng lấy cổ Xtas.
Staś szíve csordultig megtelt a kislány iránti szánalommal.	Trong trái tim cậu bé dâng tràn một tình thương bao la.
Megérezte, hogy ő ennek a kislánynak gyámja, bátyja s e pillanatban egyetlen védelmezője, de megérezte azt is, hogy kis testvérkéjét nagyon, nagyon szereti, sokkalta jobban, mint ezelőtt bármikor.	Em cảm thấy mình vừa là người đỡ đầu, vừa là người anh lớn, và là người duy nhất bảo vệ Nen trong lúc này; em cảm thấy thương yêu cô em gái bé bỏng ấy vô cù ng, yêu thương hơn nhiều so với lúc trước.
Hiszen szerette ő Port Saidban is, de csak kis pocoknak tartotta, s esze ágába sem jutott, hogy a "jóéjszakát" után kezet csókoljon neki.	Hồi ở Port Xaiđơ em cũng đã yêu thương cô bé, song vẫn coi đó là một "nhóc con" nên, nói thí dụ, em không bao giờ nghĩ tới chuyện hôn tay cô bé trước khi đi ngủ.
Ha valaki ilyen javaslattal állt volna eléje, kétségtelenül azt feleli, hogy egy tizennégy éves ifjú nem csinálhat ilyesmit korának megcsúfolása és méltóságának csorbítása nélkül.	Giá như có ai bảo em làm điều ấy chẳng hạn, thì em sẽ cho rằng đối với một chàng trai trẻ mười bốn tuổi đời, không thể làm một chuyện như thế mà không tổn hại tới danh giá và tuổi tác của mình.
Most azonban a közös balsors felébresztette gyöngédségét, úgyhogy a kislánynak nem is csak az egyik, hanem mindkét kezét megcsókolta.	Còn giờ đây, nỗi bất hạnh chung đã thức tỉnh sự âu yếm ẩn náu trong lòng em, em hôn không chỉ một bàn tay mà cả hai bàn tay cô bé.
Majd azon gondolkozott, hogy mi is lenne a megmentés leghősiesebb módja, de gondolatai már összevissza keveredtek.	Rồi em cân nhắc đến những phương pháp anh hùng nhất để cứu Nen, nhưng những ý nghĩ của em bắt đầu hỗn độn.
Egy pillanatig úgy érezte, egész homokfelhők zúdulnak rájuk, később, hogy a tevék mind a fejébe rohannak - aztán elaludt.	Em cảm thấy như có hàng đám mây cát rắc đầy xuống những ý nghĩ ấy, rồi ngỡ như tất cả đàn lạc đà nhập vào đầu óc em, và thế là em thiếp đi.
A szélviharral való viaskodásban kimerült arabok ellátták a tevéket, s szintén mély álomba merültek.	Sau khi chăm sóc lũ lạc đà, bọn Ả Rập - quá mệt mỏi vì cuộc chiến đấu với cơn bão táp - cũng ngủ say như chết.
A tűz elhamvadt, a barlangra sötétség borult.	Các đống lửa lụi dần, trong hang mờ tối.
Rövidesen felhangzott az emberek hor­tyo­gása, kívülről pedig egyre hallatszott a víz csobogása s a szakadék fenekén szerte­freccsenő habok zúgása.	Chỉ một lát sau đã vang lên tiếng người ngáy, còn từ phía ngoài vọng vào tiếng mưa rơi, tiếng nước vỗ óc ách vào đá dưới lòng khe.
Így telt el az éjszaka.	Cứ thế, đêm trôi đi.
Staśt mély álmából még virradat előtt felserkentette a hideg.	Song, trước khi trời sáng, cái lạnh đã đánh thức Xtas khỏi giấc ngủ say.
Kiderült, hogy a víz, mely a barlang fölött a sziklahasadékokban meggyülemlett, valahogyan átszivárgott a barlang mennye­zetén, s lassú cseppekben hullott Staś fejére.	Hoá ra, nước tích tụ trong những khe đá trên vòm hang đã ngấm dần xuống và từng giọt, từng giọt một chảy qua một cái kẽ nứt nào đó trên vòm hang, nhỏ giọt xuống đầu cậu bé.
A fiú felült fekvőhelyén, s néhány pilla­natig viaskodott az álommal, nem tudván megérteni, hol van és mi történik vele.	Cậu bé ngồi nhổm dậy trên đệm và suốt một lúc lâu, cưỡng lại cơn buồn ngủ, em không thể nhớ nổi hiện em đang ở đâu và có chuyện gì xảy ra với em.
