A nap lenyugodni készült a nyugati láthatáron kirajzolódó dombok mögött.	Mặt trời sắp lặn đằng sau những quả đồi phía tây.
Tíz perc sem kellett, hogy kijussanak a veszélyes zátonyok közül, s a kétárbocos hamarosan enyhén bukdácsolni, dülöngélni kezdett a nyílt tenger hullámain.	Mười phút đã trôi qua đủ cho con tàu trườn mình thoát khỏi bãi đá, nó hơi bị lắc lư tròng trành một chút.
Miután meghúzták a csücsök- és a kivonóköteleket, a Maule hátszéllel délnyugatnak vette az irányt, hogy megkerülje a Szent Bertalan-fok végén kinyúló földnyelvet.	Được gió thổi phồng, các lá buồm và căng các dây neo, con tàu Maule lướt nhanh theo hướng tây nam trực chỉ mũi Saint - Barthélemy.
Kongre és Carcante immár elismerhették, hogy a Maule minden vitorlaállásban jól kezelhető, könnyű hajó.	Lúc này thì cả Kongre lẫn Carcante đều có chung nhận xét là con tàu nhẹ nhàng này có thể thích nghi với mọi hải trình.
Kongre talán még aznap este az Elgor-öböl bejáratához érkezhetett volna, de inkább valahol a part mentén megállva akarta bevárni, hogy a nap eltűnjön a láthatár mögött.	Đương nhiên là Kongre có thể cho tàu vào vịnh Elgor trong buổi tối, nhưng hắn muốn dừng lại ở một nơi nào đó trên bờ biển để chờ cho mặt trời khuất hẳn xuống dưới chân trời.
Az első nap folyamán a Maule egyetlen hajóval sem találkozott, és az útnak körülbelül felét hagyva maga mögött sötétedéskor a Webster-foktól keletre vetett horgonyt.	Trong ngày ra khơi đầu tiên này, chiếc Maule không hề gặp một con tàu nào khác và khi màn đêm vừa buông xuống là nó đã neo đậu lại ở phía đông mũi Webster, sau khi được một nửa đoạn đường.
A szigetnek ezen a részén óriási sziklák tornyosultak, és itt emelkedtek a legmagasabb szirtfalak.	Nơi đây chồng chất nhiều tảng đá lớn và trên bờ lừng lững những vách đá cao.
Kétségtelen, ha déli szél fúj, a Maule felettébb kiszolgáltatott helyzetbe került volna itt, ahol a tenger, ha felkorbácsolják a sarkvidéki viharok, éppen olyan haragos, mint a Horn-fok környékén.	Chắc chắn là nếu gió chuyển hướng thổi từ phía nam lại thì chiếc Maule sẽ bị trống trải tại chỗ này, nơi mà khi bão địa cực nổi lên, biển sẽ động dữ dội như ở mũi Horn vậy.
Úgy tűnt azonban, hogy az idő nem változik, kitart az északkeleti szél, s Kongre és társai vállalkozását továbbra is szerencse kíséri.	Nhưng thời tiết có vẻ như muốn lặng, gió đông bắc thổi nhẹ và hình như sự may mắn vẫn còn mỉm cười với Kongre và nhóm của hắn.
A december 25-ről 26-ra virradó éjszaka a lehető legnyugodtabb volt.	Đêm 25 rạng sáng 26 tháng Chạp trôi qua trong yên tĩnh.
A szél este tíz óra felé elült, s csak a reggelre kelve, négy óra tájt támadt fel ismét.	Gió lặng từ mười giờ đêm cho tới bốn giờ sáng sáng hôm sau.
A hajnal első fénysugarainak megjelenésekor Kongre kiadta az utasításokat a kifutásra.	Khi vừng đông vừa rạng, Kongre ra lệnh cho mọi người chuẩn bị kéo neo.
Újra fölvonták az éjszakára leeresztett vitorlákat.	Những lá buồm hạ xuống lúc đêm, giờ được kéo lên.
A Webster-fok körülbelül négy-öt mérföldre nyúlik be a tengerbe, észak-déli irányban.	Mũi Webster kéo dài ra biển đến năm hải lý, từ bắc xuống nam.
A két­árbocosnak tehát megközelítőleg húsz mérföldet kellett megtennie, hogy elérjen kelet felé a Several-földnyelvig húzódó parthoz.	Do đó chiếc thuyền buồm cần đi ngược lên để tìm thấy bờ biển về phía đông kéo dài cho tới mũi Several, cách chừng khoảng hai chục hải lý.
Miután a part menti magas sziklafalaktól védett, békés vizekre ért, a Maule az előző napi körülmények között folytatta útját.	Chiếc Maule lại di chuyển như hôm trước trong những điều kiện tương tự, nó đi trong vũng nước yên tĩnh men theo bờ biển, dưới sự che chở của các dãy vách đá dựng đứng.
Mennyivel félelmetesebb és ijesztőbb volt ez a partvidék még a szorosnál is!	Càng gần đến eo biển thì bờ biển càng hiểm trở và đáng sợ!
De vajon nem gigászi bástya volt ez, mely a sarkvidéki hatalmas hullámoktól megvédte az Államok-szigetet?	Phải chăng đây là thành trì che chở cho hòn đảo chống lại những cơn sóng lừng đến từ những vùng biển địa cực?
A kétárbocos közepes vitorlázattal szelte a vizet, hárommérföldnyire a parttól.	Chiếc thuyền buồm đang lướt đi với vận tốc vừa phải cách bờ biển dưới ba hải lý.
Kongre, mivel nem ismerte ezt a partot, nem mert túl közel kerülni hozzá.	Vì không biết rõ bờ biển này cho nên Kongre không dám cho thuyền đi gần bờ.
Másrészt nem akarta nagy hullámzásnak kitenni a Maule-t, ezért igyekezett nyugodt vizeken maradni, s ilyen szélcsendet a parttól távolabb nem tapasztalt volna.	Mặt khác, vì không muốn chiếc Maule phải quá dầu dãi nên hắn cho thuyền đi giữa vùng nước lặng và không quá xa bờ lắm.
Tíz óra tájt, amikor a Blossom-öböl bejáratához érkeztek, mégsem tudták teljesen elkerülni a hullámzást.	Khoảng mười giờ, thuyền đã đến cửa vịnh Blossom, tuy thế thuyền cũng không tránh khỏi bị sóng lừng.
Kongre vitette a kétárbocost a széllel, hogy minél előbb megkerülje az öblöt keletről lezáró földnyelvet, majd a lehető legjobban szél mentén haladva, bal széllel a nyílt tenger felé fordult.	Kongre cố gắng chịu đựng, cốt để vượt qua mũi đất phân cách vịnh về phía đông, sau đó gã sẽ cho thuyền đi sát gió hơn nữa, và néo dây buồm sang trái, và sẽ đi thẳng ra khơi.
Kongre maga állt a kormányrúdnál, s míg a vitorlakivonó kötelek pattanásig feszültek, amennyire csak lehetett, szélirányban tartotta a hajót.	Kongre đích thân bẻ bánh lái tàu, các dây buồm được kéo hết cỡ, gã tìm cách càng đi sát gió bao nhiêu càng tốt.
Csak délután négy óra felé ítélte úgy, hogy a szél már eléggé segítségére volt ahhoz, hogy egyenesen haladva célba érhessenek.	Chính nhờ vậy mà vào khoảng bốn giờ chiều, y xoa tay tự hài lòng vì đã có thể cho thuyền lao thẳng tới đích.
Ekkor hátszéllel kanyarodva elfordította a csücsökkötelet, majd végleg az Elgor-öböl felé vette az irányt, miközben a Several-földnyelv négymérföldnyire északnyugatra maradt mögöttük.	Cứ nương theo chiều gió mà đi, gã luôn tay kéo dây buồm, cho tàu trực chỉ vịnh Elgor; lúc này mũi Several chỉ còn cách tàu bốn hải lý về phía tây bắc.
Ebből a távolságból szemmel tarthatták a partszakaszt, egészen a San Juan-fokig.	Từ khoảng cách này, bờ biển trải rộng ra trước mắt đến tận mũi San Juan.
Ezzel egy időben a Diegos-földnyelv mögött feltűnt a világvégi világítótorony, amelyet Kongre most látott először.	Cùng lúc ấy, về bên trái của mũi Diegos hiện ra chiếc tháp đèn của Ngọn Hải đăng ở nơi cuối trời mà Kongre trông thấy lần đầu tiên.
Mivel napnyugtáig még három óra volt hátra, a Maule minden bizonnyal még az est leszállta előtt horgonyt tud vetni.	Mặt trời còn ở trên đường chân trời khoảng ba tiếng đồng hồ nữa, do đó chắc chắn là chiếc Maule sẽ vào nơi neo đậu trước khi đêm xuống.
Bizonyos, hogy a kétárbocos nem kerülhette el az őrök figyelmét, s hogy jelenléte az Államok-sziget vizein nem maradhat észrevétlen.	Đương nhiên là chiếc thuyền buồm không thoát khỏi tầm nhìn của tổ gác đèn và giờ đây sự xuất hiện của nó đã được loan báo.
Amíg Vásquez és társai azt látták, hogy a nyílt tenger felé siet, nyilván úgy gondolták, hogy a Malvin-szigetek felé tart.	Khi Vasquez và các chiến hữu trông thấy chiếc tàu quay mũi ra khơi, họ nghĩ là tàu sẽ đi về quần đảo Malouines.
De miután észrevették, hogy jobb széllel kezd hajózni, nem kételkedhettek benne, hogy úti célja az öböl.	Nhưng bây giờ từ khi thấy tàu đi sát gió, néo dây buồm về bên phải thì chắc hẳn họ phải nghĩ là tàu sẽ đi vào vịnh.
Kongre számára egyébként nem volt túl fontos, hogy észrevették a Maule-t, sőt az sem, hogy észlelték kikötési szándékát.	Với Kongre, chuyện con tàu bị phát hiện chẳng quan trọng, kể cả việc người trên hải đăng biết được ý định neo đậu lại của tàu.
Legnagyobb megelégedésére az utolsó szakaszt is kedvező körülmények közt tették meg.	Hắn cảm thấy vô cùng hài lòng khi thấy chuyến vượt biển đầu tiên này khá thuận lợi.
A goelett bevont, lebegtetésre kész vitorlákkal közeledett, nem kellett irányt váltania, hogy megkerülje a Diegos-földnyelvet.	Bằng cách để thuyền đi chếch gió, các cánh buồm hạ thấp, chiếc Maule có thể vượt qua mũi Diegos mà chẳng cần đi sát vào bờ.
A hajótörzs állapota miatt a Maule talán nem bírt volna ki több kanyart, s ki tudja, hogy célhoz érésük előtt nem nyílik-e rajta lék.	Biết đâu lại chẳng có một chỗ rò rỉ được phát hiện ngay trước lúc tàu vào tới chỗ neo đậu?
Mikor a Maule már csak kétmérföldnyire volt az öböltől, egy ember, aki a hajófenékből visszarohant a fedélzetre, s azt kiabálta, hogy a deszkázat hasadékán keresztül folyik be a víz.	Trong lúc chỉ còn cách bờ vịnh chừng hai hải lý thì một tên trong bọn, sau khi xuống dưới khoang tàu trở lên boong, đã kêu ầm ĩ lên là nước đang tràn vào khoang qua một khe nứt.
Miután a nehezéket elmozdítva hozzáférkőzött, Vargas könnyedén bedugta a léket egy kóctömítéssel.	Sau khi di chuyển chỗ vật dằn ra, tên thợ mộc Vargas đã không mấy khó khăn dùng vải và nùi giẻ bít kín khe nứt lại.
De magától értetődött, hogy a sérült részt később gondosan meg kell javítani.	Tuy nhiên, mọi người đều hiểu là tàu cần phải sửa lại cẩn thận.
Ezzel a vitorlázattal a Maule könnyedén befuthat az Elgor-öböl belső kikötőhelyére Kongre parancsnoksága alatt, hiszen ő - mint már mondtuk, úgy ismerte az utat, mint a tenyerét - akár révkalauznak is felcsaphatott volna.	Kongre cho hạ bớt buồm xuống, chỉ để lại buồm mũi và buồm hình thang, và không mấy khó khăn chiếc Maule đã vào tới nơi neo đậu ở cuối vịnh Elgor, dưới sự chỉ huy của Kongre và những hiểu biết rất rành rẽ đường đi lối lại ở đây và sẽ đóng vai trò hoa tiêu dẫn đường cho tàu.
Most gyújtották meg a világítótorony lámpáit, s az első hajó, amelynek megvilágította útját az öblön keresztül, a kalózok kezére került chilei kétárbocos volt.	Ngọn hải đăng vừa được thắp lên và con tàu đầu tiên được nó dẫn đường qua vịnh chính là đang nằm trong tay bọn cướp biển.
Hét óra körül járt az idő; a nap éppen lebukott az Államok-sziget magas hegycsúcsai mögé, amikor a Maule jobb kéz felől elhagyta a San Juan-fokot.	Lúc đó đã gần bảy giờ tối khi mặt trời đã khuất sau những đỉnh núi của hòn đảo thì chiếc Maule cặp mạn phải mũi San Juan.
Ott volt az öböl bejáratánál, ahová Kongre hátszéllel befutott.	Vịnh mở ra trước mũi tàu, Kongre để tàu đi xuôi gió để vào vịnh.
A barlangok előtt elhaladva, Kongre és Carcante meggyőződhetett róla, hogy a nyílásokat láthatóan nem fedezték fel az eléjük halmozott kövek és a bozótfüggöny mögött.	Lúc tàu đi ngang qua những hang đá, Kongre và Carcante có thể an tâm mà nhận thấy rằng các cửa hang vẫn được giấu kín sau những đống đá hay những lùm cây.
- mondta Carcante Kongrénak, akivel a hajó tatjában álltak.	- Mọi chuyện đều tốt cả - Carcante nói với Kongre khi hai tên đứng bên nhau ở lái tàu.
- Pedig lesz - felelte Kongre.	- Và sẽ tốt đẹp hơn nữa đấy - Kongre đáp.
Ebben a percben két ember "azonosította", most ereszkedtek le a sziklateraszról a fövenyre.	Đúng vào lúc đấy hai người từ tháp đèn leo xuống phía dưới là Felipe và Moriz.
Vásquez eközben az őrszobán teljesített szolgálatot.	Còn Vasquez thì trực trong phòng làm việc.
Abban a pillanatban, amikor a horgonyt a vízbe engedték, Moriz és Felipe a Maule fedélzetére ugrott.	Lúc neo vừa chìm xuống đáy vịnh thì Moriz và Felipe cùng nhảy lên boong chiếc tàu buồm.
Kongre intett, s az elsőt azon nyomban fejbe vágták egy baltával, mire összeesett.	Ngay tức thì, Kongre ra hiệu, một nhát búa liền đập ngay vào đầu Moriz làm anh ngã quỵ.
Az őrszoba egyik ablakán keresztül Vásquez hallotta a lövéseket és látta, hogyan gyilkolják le társait.	Qua cửa sổ của phòng trực, Vasquez đã nghe các tiếng động và thấy hai chiến hữu bị sát hại.
Szegény Felipe, szegény Moriz; s ő semmit sem tehetett, hogy megmentse őket!	Với bọn sát nhân đó thì chẳng có thể chờ mong ở chúng một ân huệ nào cả.
Döbbenetéből felocsúdva visszanyerte hidegvérét, és gyorsan felmérte a helyzetet.	Sau phút bàng hoàng ban đầu, anh lấy lại can đảm và nhanh chóng nhận định tình hình.
Talán nem is tudnak létezéséről; az viszont feltehető volt, hogy a kikötési műveletek végeztével többeknek eszébe juthat felmenni a toronyba, alighanem azért, hogy kikapcsolják a világítást és megközelíthetetlenné tegyék az öblöt.	Có thể bọn chúng còn chưa biết đến có anh ở đây, nhưng có thể giả thiết là sau khi đã neo đậu tàu xong thì bọn chúng sẽ cùng kéo lên tháp đèn để tắt hải đăng đi, làm cho vịnh này sẽ không thể qua được, ít nhất là cho đến sáng hôm sau.
