Vörös és fekete	ĐỎ VÀ ĐEN (Tập 1)
Akármily jól értsen is a latin nyelvhez, végeredményben mégis csak paraszt, a ki gyakran goromba és vét az illem ellen; abban a hiszemben, hogy udvarias, nap-nap után túlzott és izléstelen bókokat mond, a melyeket valami regényből szed...	Dù anh ta có giỏi La tinh đến mấy đi nữa, thì xét cho cùng anh ta cũng chỉ là một anh nhà quê nhiều khi thô lỗ và thiếu ý tứ; hằng ngày, tưởng thế là có lễ độ, anh ta vẫn tán tụng tôi bằng những câu ngoa ngoắt và kệch cỡm, học thuộc lòng ở một cuốn tiểu thuyết nào đó…
- Sohasem olvas regényt - kiáltott de Rênal úr; - erről meggyőződtem.	— Hắn có đọc tiểu thuyết bao giờ đâu, ông de Rênal kêu lên; tôi đã điều tra kỹ.
Azt hiszi, olyan ember vagyok én, a ki vak és nem tudja, mi történik a házában?	Bà tưởng tôi là một ông chủ nhà mù quáng, không biết gì những chuyện xảy ra ở nhà mình sao?
- Nos hát, ha nem könyvből tanulja e nevetséges bókokat, úgy maga eszeli ki azokat és ez még rosszabb reá nézve.	— Thế thì, những câu tán tụng lố bịch kia, nếu anh ta không đọc được ở đâu, thì là anh ta tự nghĩ ra, như vậy lại càng tệ hại hơn.
- Ah!	— Chà!
- kiáltott föl de Rênal úr, olyan ütéssel reszkettetve meg az asztalt és a szobát, a melynél nagyobb még nem hangzott el - a nyomtatásos névtelen levélnek és Valenod leveleinek ugyanaz a papirjuk.	Ông de Rênal vừa kêu lên vừa đấm một cái như trời giáng xuống mặt bàn làm rung chuyển cả bàn lẫn gian nhà, bức thư nặc danh in và các bức thư của thằng Valenod cùng viết bằng một thứ giấy.
- Végre!...	Thế là xong!
gondolá de Rênal-né; úgy mutatta, mintha e fölfedezés megdermesztette volna és a nélkül, hogy egyetlen szót is lett volna bátorsága hozzátenni, félreült a divánra, a szalon végében.	Bà de Rênal nghĩ bụng; bà làm ra vẻ thất kinh về sự khám phá kia, và không có can đảm nói thêm nửa lời, bà đi ra ngồi đằng xa trên một tấm đi văng, tận cuối phòng khách.
Az ütközet meg volt nyerve; az asszonynak nagy fáradságába került, a míg megakadályozhatta, hogy de Rênal úr nyomban fölkeresse a névtelen levél hihetőleges szerzőjét.	Cuộc chiến đấu thắng hẳn rồi; bà còn phải vất vả để can ngăn ông de Rênal đừng đi chất vấn con người cho là tác giả bức thư nặc danh.
- Hát nem érzi, hogy ha kellő bizonyítékok nélkül lép föl Valenod úr ellen, ezzel a legnagyobb ügyetlenséget követi el?	— Sao ông lại không thấy rằng không có bằng chứng đầy đủ mà đi gây chuyện với ông Valenod là một điều đại thất sách?
Az emberek irígylik önt és miért?	Ông bị người ta ghen ghét, thưa ông, là lỗi tại ai?
Mert az ön képességei: bölcs kormányzása, szép házai, a hozomány, a mit velem kapott, főleg pedig a tekintélyes örökség, melyet az én jó nénémtől remélhetünk és a melynek különben végtelenül túlozzák a jelentőségét, önt Verrières első emberévé tették.	Lỗi ở tài năng của ông; cách cai trị khôn ngoan của ông, những lớp nhà xây dựng rất đẹp mắt của ông, món hồi môn mà tôi đã đem về cho ông, và nhất là món gia tài mà chúng ta có thể hy vọng ở bà cô phúc hậu của tôi, món gia tài mà người ta cứ quan trọng hóa lên rất nhiều, tất cả những cái đó đã làm cho ông là nhân vật hàng đầu ở Verrières đấy.
- Megfeledkezik a családi eredetről, - szólt de Rênal úr kissé mosolyogva.	— Bà con quên dòng dõi nữa, ông de Rênal vừa nói vừa hơi nhếch mép tủm tỉm.
Ha Valenod előtt szóvá teszi névtelen levelét, ez annyi, mintha egész Verrières-ben, azaz mit mondok, Besançonban, az egész vidéken kikürtölné, hogy ez a hitvány polgárember, a kit egy de Rênal oktalanul talán bizalmára méltatott, módot tudott találni, hogy megsértse őt.	Chất vấn ông Valenod về bức thư nặc danh của ông ta khác nào tuyên bố trong khắp Verrières, chẳng những thế mà cả trong Besancon, trong toàn xứ, rằng cái lão tiểu thị dân đó, được đưa, có lẽ là khinh suất, vào cuộc thân giao với một ông de Rênal, đã tìm được cách xúc phạm ông.
Ha a levelek, melyeket hatalmába kerített, azt bizonyítanák, hogy viszonoztam Valenod úr szerelmét, önnek meg kellene engem ölnie, százszor is rászolgáltam volna, de nem volna szabad, hogy vele szemben haragot mutasson.	Dù cho những bức thư mà ông vừa vớ được kia có chứng tỏ rằng tôi đã đáp lại tình yêu của ông Valenod chăng nữa, thì ông phải giết tôi, và tôi sẽ đáng tội trăm lần, nhưng không nên tỏ ra giận dữ với ông ta.
Gondolja meg, hogy minden szomszédja lesi az ürügyet, a mivel bosszút állhatnak az ön felsőbbségén; gondolja meg, hogy 1816-ban elősegített bizonyos bebörtönzéseket.	Ông thử nghĩ xem, tất cả hàng xóm láng giềng quanh ông chỉ chờ đợi có một duyên cớ để trả thù cái nỗi ông hơn họ; ông thử nghĩ xem, năm 1816 ông đã góp phần vào một số vụ bắt bớ.
Az az ember, a ki a háztetőre menekült...	Cái người trốn tránh trên mái nhà dạo trước ...
- Arra gondolok, hogy nincs irántam se tekintettel, se barátsággal, - kiáltott föl de Rênal úr mindama keserűséggel, a mit az ily emlék fölújítása támasztott - és hogy nem voltam pair.	— Tôi nghĩ rằng bà chẳng nể nang, chẳng thương yêu gì tôi cả, ông de Rênal kêu lên với tất cả nỗi niềm cay đắng mà cái kỷ niệm kia đánh thức dậy, và tôi chưa phải là nguyên lão nghị viện!...
- Azt tartom, barátom, - felelt mosolyogva de Rênal-né, - hogy gazdagabb leszek, mint ön, hogy tizenkét év óta vagyok társnője és hogy mindennek alapján szabad véleményt nyílvánítanom, különösen ebben a mai ügyben.	— Mình ạ, bà de Rênal mỉm cười trả lời, tôi nghĩ rằng tôi sẽ giàu hơn mình, tôi làm bạn với mình đã được mười hai năm nay, với những danh nghĩa đó, tôi phải có quyền có ý kiến, nhất là trong câu chuyện ngày hôm nay.
Ha önnek egy Julien úr több, mint én, - tette hozzá rosszúl palástolt bosszúsággal, - kész vagyok, hogy egy télre nénémhez költözzem.	Nếu mình coi một anh chàng Julien hơn tôi, bà nói thêm với một vẻ hờn dỗi ra mặt, thì tôi sẵn sàng lên ở nhà bà cô tôi cả một vụ mùa đông.
Ezt de Rênal-né szerencsésen mondta.	Câu đó được nói ra một cách khôn khéo.
Hangjában volt valami eltökéltség, mely udvarias formát igyekezett ölteni; ezzel elhatározásra bírta de Rênal urat.	Nó có một vẻ cương nghị cố lồng vào giọng lễ độ; nó quyết định được ông de Rênal.
Csakhogy, híven a vidéki szokáshoz, még sokáig beszélt, fölemlegette összes érveit; felesége hagyta, hogy beszéljen, hanghordozásában még harag volt.	Nhưng, theo thói quen của tỉnh lẻ, ông còn nói một thôi một hồi nữa, lại trở lại tất cả những lý lẽ trước; bà vợ cứ để ông nói, trong giọng của ông hãy còn có nộ khí.
Végre két órai haszontalan fecsegés kimerítette egy olyan ember erőit, a ki az egész éjet dührohamban töltötte.	Cuối cùng, hai tiếng đồng hồ nói lảm nhảm vô ích làm kiệt sức một con người đã chịu đựng một cơn giận dữ kéo dài cả một đêm.
Megállapította, hogy milyen magatartást fog követni Valenod úrral, Juliennel, sőt Elisával szemben is.	Ông bèn ấn định đường lối xử sự của ông đối với ông Valenod, Julien và cả Élisa nữa.
De Rênal-né e nagy jelenet alatt egy vagy két ízben azon a ponton volt, hogy némi részvétet érezzen e valóban szerencsétlen ember iránt, a ki tizenkét éven át barátja volt.	Một đôi lần, suốt trong cái lớp trò lớn đó, bà de Rênal đã gần như có đôi chút cảm thông với nỗi đau khổ rất hiện thực của người đàn ông kia, đã mười hai năm trời làm bạn với bà.
Ám az igazi szenvedélyek önzők.	Song, những mối tình say đắm thực sự vẫn ích kỷ.
De meg különben is, minden pillanatban várta a közlést a névtelen levélről, melyet de Rênal úr tegnap este kapott és ez a közlés egyre késett.	Vả lại, bà vẫn nơm nớp chờ đợi lời thú thực về bức thư nặc danh mà ông nhận được hôm qua, mà không thấy ông nói gì.
De Rênal-né biztonsága hiányos volt a gondolatok ismerete nélkül, melyeket annak az embernek sugalmazhattak, a kitől sorsa függött.	Muốn được an toàn hẳn, bà de Rênal còn cần biết những ý nghĩa mà người ta đã có thể gọi cho con người định đoạt số phận của bà.
A vidéken ugyanis a férjek a közvélemény urai.	Vì ở tỉnh lẻ, những ông chồng vẫn làm chủ dư luận.
A férj, a ki panaszkodik, nevetségessé teszi magát, a minek Francziaországban napról-napra csökken a veszedelmes volta; a felesége azonban, ha nem kap tőle pénzt, a munkásnő sorsába sülyed, a kinek tizenöt sous napszámot fizetnek, sőt a jó lelkek még azt is nagyon megfontolják, hogy egyáltalában adjanak-e neki munkát?	Một người chồng mà đi kêu ca thì bị người ta chê cười, cái điều này ở Pháp mỗi ngày một bớt nguy hiểm; nhưng người vợ, nếu chồng không cho tiền, sẽ rơi vào thân phận đi làm công mỗi ngày mười lăm xu , lại thêm nỗi những người hiền lành e ngại không dám mướn họ.
A szeralj-beli odaliszk minden áron szeretheti a szultánt; ez mindenható és neki semmi reménye sincs, hogy apró ravaszkodásokkal lerázza magáról a hatalmát.	Một nàng cung phi có thể bắt buộc phải yêu tên bạo chúa; hắn có quyền lực tuyệt đối, nàng chả có một tí hy vọng gì thoát được uy quyền của hắn bằng một chuỗi những mưu trí vặt.
Az úr bosszúja rettenetes, véres, de katonás, nagylelkü: egy tőrszúrás mindennek véget vet.	Sự báo thù của vị chúa tể thật là khủng khiếp, đẫm máu, nhưng quân sự, hào hùng, chỉ một nhát dao là xong hết.
A veszély érzete hevesen föllobbant de Rênal-néban, mikor szobájába tért; megdöbbent a rendetlenségtől, mely ott szeme elé tárult.	Ý nghĩ về nỗi nguy hiểm được đánh thức dậy mạnh mẽ ở bà de Rênal, khi bà trở về buồng riêng; bà lấy làm khó chịu thấy lung tung lộn xộn cả.
Valamennyi kecses kis szekrényének a zárja fel volt törve; a padló több koczkája fölfeszítve.	Tất cả các ổ khóa của những cái tráp nhỏ của bà đều bị phá vỡ; nhiều tấm gỗ lát sàn bị lật lên.
- Így összerongálni ezt a festett fából való padlót, melyet annyira szeret; ha valamelyik gyermeke sáros czipővel lépett reá, vörös lett a méregtől.	Phá hại như thế kia cái sàn gỗ màu mà ông ấy vẫn rất yêu thích; khi một thằng con đi giày ướt bước vào đó, là ông ấy giận dữ đỏ mặt tía tai.
Ime, most örökre megrongálta!	Bây giờ bị hư hại không còn chữa gì được nữa!
Ez erőszakosság látványa nyomban elűzte az utolsó szemrehányásokat is, melyeket nagyon is gyors győzelme miatt tett magának.	Cái cảnh tượng thô bạo phũ phàng đó gạt xa rất mau những lời tự trách cuối cùng của bà về nỗi đã thắng trận quá nhanh chóng.
Kevéssel, mielőtt ebédre csöngettek volna, Julien megérkezett a gyermekekkel.	Gần sát lúc chuông điểm bữa ăn chiều, Julien trở về với lũ trẻ.
Az étkezés végén, mikor a cselédek visszavonúltak, de Rênal-né nagy szárazon így szólt hozzá:	Đến lúc ăn tráng miệng, khi bọn người nhà đã rút lui cả, bà de Rênal nói với anh bằng một giọng hết sức lãnh đạm:
- Ön azt az óhajtását fejezte ki előttem, hogy szeretne két hétre Verrières-be menni, de Rênal úr hajlandó megadni a szabadságot.	— Ông có ngỏ ý với tôi muốn về chơi Verrières mười lăm ngày, ông de Rênal vui lòng cho ông được nghỉ phép.
- Azonban - tette hozzá de Rênal úr igen éles hangon - semmiesetre sem engedek többet egy hétnél.	— Cố nhiên, ông de Rênal nói thêm bằng một giọng rất gay gắt, tôi sẽ không cho ông nghỉ quá một tuần lễ.
Julien a mélyen megbántott ember nyugtalanságát vette észre arczkifejezésén.	Julien thấy trên nét mặt ông có nỗi lo âu của một con người hết sức băn khoăn bứt rứt.
- Még nem állapodott meg, hogy mit csináljon, - szólt barátnőjének, mikor egy pillanatra egyedül maradtak a szalonban.	— Ông ấy vẫn chưa quyết được một bề nào, anh nói với tình nhân, trong một giây lát vắng người ở phòng khách.
De Rênal-né gyorsan elmondta neki, hogy mit művelt reggel óta.	Bà de Rênal kể nhanh cho anh nghe tất cả công việc của bà từ sáng sớm.
- A részleteket majd éjjel, - tette hozzá nevetve.	— Đêm nay, sẽ kể chi tiết, bà vừa cười vừa nói thêm.
- Asszonyi romlottság!	Tính gian tà của đàn bà!
- gondolá Julien.	Julien nghĩ thầm.
- Mily gyönyör, mily ösztön hajtja őket, hogy megcsaljanak bennünket.	Họ lừa dối đàn ông chúng mình một cách thật là thích chí, thật là bản năng!
Ez a ház tele van ellenséggel; gondolja meg, milyen szenvedélyes gyűlölettel van irántam Elisa.	Nhà này đầy dẫy những kẻ thù; bà hãy nghĩ đến mối căm thù kịch liệt của Élisa đối với tôi.
- E gyűlölet nagyon hasonlít a szenvedélyes közönyösséghez, a melyet ön irántam tanúsít.	— Mối căm thù đó giống hệt sự thờ ơ nhiệt liệt mà có lẽ ông biểu lộ đối với tôi thì phải.
