JAMES JOYCE	James Joyce
Corley hátrafordult, hogy ki szólítja, aztán újra csak törtetett előre.	Corley quay đầu nhìn xem ai gọi mình, rồi lại tiếp tục bước đi.
Lenehan utána, esőkabátját szorongatva a vállán.	Lenehan chạy sau anh ta, một tay chỉnh lại chiếc áo vải nhựa vắt trên vai.
- Halló, Corley!	- Corley, chào!
Nem volt azon az arcon semmi.	Anh ta không thấy gì ở đó.
- Na?	- Sao?
- kérdezte. - Sikerült?	- anh ta nói - Có xoay được không?
Már az Ely Place sarkán jártak.	Họ đã tới góc phố Ely Place.
Lenehan mellette ügetett, izgatottan lihegve.	Lenehan theo kịp bạn, thở phì phò.
Ideges volt, hangjából fenyegető figyelmeztetés sivított:	Anh ta thấy bị tẽn tò, và một sắc đe dọa xen vào giọng anh ta.
- Nem volnál szíves nyilatkozni mégis?	- Cậu không thể nói được hay sao?
Amit egyszer elhatározott, azt tűzön-vízen át keresztül is vitte: Mrs. Mooney eltökélt nő hírében állt.	Coley dừng lại nơi cột đèn đầu tiên và nih`n đăm đăm tàn nhẫn về phiá trước.
Ivott, fosztogatta a kasszát, hanyatt-homlok rohant az adósságba.	Một đồng tiền vàng nhỏ tỏa sáng giữa lòng bàn tay.
Naphosszat üldögélt a törvény­szolga kuckójában, és arra várt, hogy valahová kiközvetítsék.	Tám năm trước anh đã tiễn bạn mình tại bến North Wall và chúc anh ta thượng lộ bình an.
A törzslakók tisztelettel beszéltek róla: a Nagysága.	Gallaher đã tìm được con đường cho mình.
Jack Mooney, a Nagysága fia, aki egy Fleet Street-i bizományi ügynökségen tisztviselősködött, némi hírnévre tett szert közöttük: ő volt a nehéz eset.	ít người có được những khả năng như anh ta, và còn ít người hơn có thể tự giữ mình không bị sự thành công đó làm cho hư hỏng.
Beszédében bakadisznóságokat használt, és rendszeresen a kora hajnali órákban járt haza.	Trái tim Gallaher đã được đặt đúng chỗ và anh ta xứng đáng được thành công.
Vasárnap esténként gyakran összejött a kompánia Mrs. Mooney nappalijában.	Có được một người bạn như thế quả không phải chuyện thường.
Polly flörtölt is velük, de a csalhatatlan szemű Mrs. Mooney tudta, hogy csak időtöltés kedvéért foglalkoznak vele: komoly szándékot egyiknél sem fede­zett fel.	Anh bị gọi là Little Chandler bởi, dù chỉ hơi thấp bé hơn trung bình một chút, anh làm người ta có ấn tượng về một người đàn ông nhỏ bé.
Erkölcsi problémákkal is úgy foglalkozott, mint hajdan a hússal: hentes­bárddal a kezében.	Tay anh trắng và nhỏ, thân hình mỏng mảnh, giọng yếu ớt và cử chỉ nhỏ nhẹ.
Mrs. Mooney egy szalmaszékben ült, és Maryre, a szolgálólányra ügyelt, aki a reggeli maradványait takarította el az asztalról.	Móng tay anh tỉa hình bán nguyệt hoàn hảo, và khi anh cười người ta có thể thoáng thấy bên trong một hàng răng trắng trẻ thơ.
A dolgok úgy álltak, ahogy eleve gyanította: egyenes kérdéseire Polly egyenes válaszokat adott.	Ngồi bên bàn làm việc tại King's Inns, anh nghĩ về những đổi thay trong tám năm qua.
Tizenhét perccel múlt tizenegy, úgyhogy még van ideje lebonyolítani az ügyet Doran úrral, és tizenkettőre még a Marlborough utcába is eljut.	Người bạn tồi tàn luôn túng quẫn anh từng biết giờ đã trở thành một nhân vật sáng chói trong giới ký giả London.
Házába fogadta a férfit, bízva abban, hogy jelleme feddhetetlen, és az visszaélt vendégszeretetével.	Chốc chốc anh lại rời mắt khỏi trang viết tẻ ngắt của mình nhìn ra ngoài cửa sổ văn phòng.
Mert ilyenkor igenis helyre kell állítani a lány becsületét.	Ánh chiều thu thỏa trên thảm cỏ và lối đi.
Ha azonban beleegyezik, minden jóra fordul.	Một cảm giác u sầu ngập tràn trong anh.
Felállt, és végignézte magát a nagy álló tükörben.	Anh nhớ lại hàngchồng thơ chất trên giá sách ở nhà.
Az ügyről feltétlenül beszélni fognak, és egészen bizonyos, hogy a főnökének is a fülébe jut.	Nhưng sự ngượng ngùng luôn cản bước anh, và thế là những quyển sách lại nằm yên trên giá.
Fiatal korában, persze, hozott vadhajtást is eleget: vendéglői társaságban sokszor dicsekedett azzal, hogy szabadgondolkodó, és tagadja Isten létét.	Khi chuôngbáo hết giờ làm việc vang lên, anh đứng dậy và rời khỏi bàn, chàotạm biệt đồng nghiệp, tất cả đều thật tỉ mỉ.
Ösztönei a házasság ellen tiltakoztak, védték szabadságát.	Hoàng hôn mạ vàng đang nhạt dần và không khí đã buốt hơn.
Nem egyedül az ő hibája, hogy megtörtént.	Little Chandler không thèm để ý đến chúng.
Megaláztatása fölött a munkaadója és a Nagysága kíméletlen arca őrködött.	Họ mặc những chiếc váy sột soạt và tầng tầng lớp lớp áo khoác.
Hirtelen eszébe villant az az este, amikor az egyik szőke londoni bárművész meglehetősen szabadszájú célzást tett Pollyra.	Mặt họ đánh phấn và họ túm lấy váy nâng lên mỗi khi chúng chạm đất như những nàng Atalanta hoảng sợ.
Jack annyira megvadult, hogy a kompánia csaknem szétszaladt.	Anh luôn đi ngang qua họ mà không quay đầu lại nhìn.
Most jutott eszébe, hogy erre várt.	Anh rẽ phải về phía phố Capel.
Gallaher azóta befutott.	Ignatius Gallaher thuộc giới ký giả London!
Gallaher szíve helyén van, annyi bizonyos, és rászolgált a győzelemre.	Tám năm trước đây ai có thể nghĩ được chuyện đó?
Időnként elmorzsolt néhány sort magában, és ez megvigasztalta.	Hồi đó người ta từng nói Ignatius Gallaher thật điên rồ.
A Királyi Ügyészség középkori árkádja mélyéből felmerült kellemes, szerény alakja, és lesietett a Henrietta utcán.	Tất nhiên hồi đó đúng là anh ta có qua lai với một đám phóng đãng, uống rượu thả cửa và moi tiền khắp lượt.
Hölgyek, feltűnő ruhákban, sokrétű sálakban.	Nhưng không ai có thể phủ nhận tài năng của anh ta.
Persze, akkor valóban elkeveredett egy kicsapongó társasággal, vadul ivott, és mindenfelé adósságot csinált.	Kể cả khi sắp nhẵn túi phải đi kiếm từng xu anh ta cũng luôn giữ được một vẻ phớt đời.
A kis Chandlernek eszébe jutott (és az emlékezés a büszkeség halvány pírjával festette meg arcát) Ignatius Gallaher egyik mondása, amikor nagyon szorult nyaka körül a hurok.	Little Chandler nhớ lại (và chuyện này khiến má anh hơi đỏ lên kiêu hãnh) một trong những câu nói của Ignatius Gallaher lúc bị dồn vào bước khó khăn;
- Na, fiúk, félidő - szokta mondani könnyű szívvel -, adjátok csak ide a gondolkodó sapkámat!	- Nào,giải lao thôi các cậu - anh ta thường nói một cách bông đùa - Cái mũ thôngthái của tớ đâu rồi ấy nhỉ?
Ez volt ő, Ignatius Gallaher, és csak csodálni lehetett érte.	Ignatius Gallaher là như thế, và chết tiệt chứ, không thể không ngưỡng mộ anh ta vì điều đó.
A kis Chandler kihúzta magát.	Little Chandler rảo bước nhanh hơn.
Lelkében lázadások gyúltak a Cape utca ostoba póriassága ellen, életében először.	Lần đầu tiên tâm hồn anh nổi loạn chống lại vẻ tầm thường nhàm chán của phố Capel,.
Igazság, nagy igazság: ha a siker ájulatára vágysz, hagyd el Dublint.	Không còn nghi ngờ gì, nếu muốn thành công người ta phải đi thật xa.
Dublin a fagyok városa.	Không thể làm được gì ở Dublin này.
A Grattan hídra ért, lenézett a hunyorgó folyóra, a távoli rakpartokra, és lenézett szánalommal a szegény, satnya házakra.	Khi đi qua cầu Grattan, anh nhìn xuống sông về phía bờ ke thấp phía dưới và thương hại những ngôi nhà lụp xụp nghèo khó.
Öreg csavargók tépett hada, ide sodorva a folyó partjára, avitt rongyaikon por és korom, bambultan a naplemente panorámájától, az éjszaka első dermesztő leheletét várják, amely majd felrugdalja őket, és megrázkódnak és tovább loholnak - ilyeneknek érezte most a házakat.	Trông chúng như đám người lang thang nằm rúc lại với nhau dọc hai bờ sông, những mảnh áo khoác cũ lấm đầy bụi và bồ hóng, rông càng u độn hơn trong cảnh hoàng hôn hùng vĩ, đang đợi chờ làn hơi lạnh đầu tiên của buổi tối đến đánh thức, lay họ dậy bước đi.
Talán Gallaher el is tudná helyezni valamelyik londoni lapban.	Nhỡ đâu Gallaher có thể gửi đăng trên tờ báo London nào đó cho anh.
Hogy miféle gondolatot írna versbe, pontosan nem tudta, de hogy egy pillanatra költőnek érezte magát, zsenge remény éledezett benne.	Anh không chắc lắm mình muốn thể hiện ý tưởng gì, nhưng cái ý nghĩ mình vừa có cảm hứng thi ca đâm chồi trong anh như một tia hy vọng mới mẻ.
Ruganyos léptekkel haladt tovább.	Anh can đảm bước tiếp.
Minden lépésre London közeledett, és minden lépésre sivár, művészet nélküli élete tűnt távolabbra.	Mỗi bước đi lại mang anh gần hơn với London và xa hơn khỏi cuộc sống đứng ngoài nghệ thuật tẻ ngắt của anh.
Korántsem öreg még - harminckét éves.	Anh đâu đã già - ba mươi hai tuổi!
Impressziók és hangulatok számtalan változata várja, hogy verssé legyen.	Có bao trạng thái cảm xúc khác nhau anh muốn được diễn đạt thành thơ.
Belül, valahol érezte őket.	Anh có thể cảm thấy chúng.
Lelkét mérlegelte, vajon költő lelke-e. Lelkivilágának uralkodó jegye kétségkívül a mélabú, e mélabút azonban vissza-visszatérő hitek, lemondások és egyszerű örömök enyhítik.	U sầu là nốt nhạcchủ đạo của tâm hồn anh, anh nghĩ, nhưng đó là nỗi u sầu được dịu đi bởi sự trở lại của đức tin, sự cam chịu và niềm vui giản dị.
Ha mindezt ki tudná fejezni egy kötetnyi versben, talán felfigyelnének rá.	Nếu anh có thể diễn đạt nó thành một tập thơ có lẽ người ta sẽ lắng nghe anh.
Mondatokat, jelzőket kezdett kitalálni, amelyekkel könyvét üdvözölné a kritika.	Anh bắt đầu tưởng tượng ra những câu chữ trong bài phê bình mà tập thơ của anh sẽ nhận được.
Sóvárgó szomorúság ömlik el poézisén"... "A kelta bárd..." Sajnálatos, hogy neve nem írebb.	Thật đáng tiếc sao tên anh trông lại không giống một cái tên Ireland hơn chút nhỉ.
Bizonyosan hatásosabb lenne, ha vezeték- és keresztneve közé anyja vezetéknevét is közbeiktatná: Thomas Malone Chandler, vagy még jobb: T. Malone Chandler.	Có khi nên ghi thêm tên mẹ anh vào trước tên họ Thomas Malone Chandler, hoặc thậm chí là T. Malone Chandler.
Feltétlenül beszél erről Gallaherrel.	Anh sẽ nói với Gallaher về chuyện này.
Oly buzgalommal űzte álomképeit, hogy túlment a célján, és vissza kellett gyalogolnia.	Anh chìm đắm trong những mơ tưởng của mình đến nỗi đã đi quá phố muốn đến và phải quay lại.
Ahogy közeledett a Corlesshez, korábbi félelmei újból rátörtek, csak állt az ajtóban határozatlanul.	Khi đến gần tiệm Corless sự lo âu lúc trước lại chiếm lấy anh và anh dừng lại trước cửa, ngập ngừng.
Körül próbált tekinteni, de a számtalan vörös és fehér borospohár villogása befátyolozta tekintetét.	Anh nhìn quanh, nhưng cái nhìn của anh bị làm cho lẫn lộn bởi cơ man những ly rượu màu xanh đỏ.
Riadtan pillogott jobbra-balra, enyhén összevont szem­öldök­kel, hogy tétova megjelenését némiképp komollyá tegye, de mikor látása megtisztult, észrevette, hogy senki sem fordul feléje kíváncsian: és íme, a párákból kiemelkedve, háttal a pultnak, széles terpeszben odacövekelve, íme Ignatius Gallaher.	Anh liếc nhanh sang phải rồi sang trái (hơi nhíu mày để trông có vẻ quan trọng) nhưng khi nhìn rõ hơn một chút anh nhận ra rằng chẳng có ai quay ra nhìn anh hết, và kia, chắc chắn r, là Igantius Gallaher đang dựa lưng vào quầy, hai chân đứng giạng ra.
- Halló, Tommy, vén csataló, csakhogy!	- Chào Tommy, người hùng, cậu đây rồi!
Mit igyunk?	gì nào?
Én whiskyt iszogatok.	cậu sẽ uống gì?
Szóda?	Lithia?
Látod valami jelét az öregedésnek rajtam - na, mi?	Cậu có nhìn thấy tớ có dấu hiệu lão hóa gì không?
Ignatius Gallaher leemelte kalapját, leleplezve dicstelenül letarolt, óriási koponyáját.	Ignatius Gallaher bỏ mũ xuống, chìa ra một cái đầu lớn tóc cắt sát.
Arca duzzadt, szürke, fényesre borotvált.	Mặt anh ta nặng nề, nhợt nhạt, cạo nhẵn thín.
Szeme, palakék szeme kiemelte arcának sápadtságát, és kifejezéstelenül világolt narancsszínű nyakkendője fölött.	Mắt anh ta, màu xám nhạt, lộ ra vẻ xanh xao bệnh tật và rực sáng phía trên chiếc ca vát màu cam sặc sỡ anh ta đeo.
E tusakodó színek közül menekült, előugorván színtelenül és alaktalanul az ajka.	Giữa hai đường nét đối chọi này là đôi môi trông trễ hẳn xuống èo uột tái nhợt.
Ignatius Gallaher elfödte koponyáját.	Little Chandler lắc đầu phủ nhận, Ignatius Gallaher đội lại mũ lên.
- Megnyúzza az embert - mondta.	- Nó làm cậu kiệt quệ - anh ta nói - cuộc đời ký giả ấy.
A kis Chandler fel-felhígíttatta a whiskyjét.	Little Chandler pha ly whisky của anh rất loãng.
- Fogalmad sincs, mi a jó, gyermekem - mondta Ignatius Gallaher.	- Cậu không biết cái gì tốt cho cậu rồi, cậu bé - Ignatius Gallaher nói - Tớ thì tớ uống nguyên luôn.
- Én tisztán iszom. - Általában igen keveset iszom - válaszolta a kis Chandler szerényen.	- Bình thường tớ cũng chỉ uống rất ít mà - Little Chandler rụt rè - Cùng lắm là nửa ly gì đó lúc nào gặp bạn bè cũ, chỉ thế thôi.
- Ezt hát az egészségünkre, a régi szép időkre, a régi ismerősökre.	- Hôm nay tớ cũng gặp mấy cậu hồi đó - ignatius Gallaher nói - O'Hara có vẻ xuống dốc quá.
- Találkoztam tegnap egypárral a régi brancsból - mondta Ignatius Gallaher.	- Chẳng làm gì cả - Little Chandler nói - Đời cậu ta coi như bỏ rồi.
