A KASTÉLY	LÂU ĐÀI
K. mindkét kezével Frida haját simogatta, úgy kérdezte a kocsmárosnétól:	K. vuốt tóc Frida bằng cả hai tay, và hỏi bà vợ ông chủ quán:
- Szóval, igazat ad nekem?	- Thế thì bà đồng ý với tôi chứ
- Maga tisztességes ember - mondta a kocsmárosné, az ő hangjában is könny rezgeti, meglehe­tősen elesettnek látszott, és nehezen lélegzett, de azért annyi ereje még volt, hogy kijelentse:	- Ông là một người tử tế, - bà chủ quán nói giọng muốn khóc với một vẻ bất lực.
- Most már csak azt kell megfontolni, milyen biztosítékokat ad Fridának, mert akárhogy be­csü­löm is ezek után, végtére mégiscsak idegen, nem hivatkozhatik senkire, otthoni viszonyai­ról itt senki nem tud semmit.	Bà ta thở khó khăn nhưng dù sao vẫn còn sức để nói: - Bây giờ chỉ cần cân nhắc xem ông lấy gì bảo đảm cho cô Frida, vì cho dù tôi trọng ông như thế nào sau những sự việc này thì rốt cuộc ông cũng chỉ là một người lạ, ông không thể dựa vào ai cả, về những mối quan hệ của ông ở nhà thì ở đây không một ai biết cả.
Biztosítékokra tehát szükség van, ezt maga is belátja, kedves földmérő úr, hiszen éppen maga hangsúlyozta az előbb, milyen sokat veszít Frida azzal, hogy magához köti magát.	Cho nên phải cần đến sự bảo đảm. Ông cũng thấy như thế, thưa ông đạc điền, bởi vì vừa nãy chính ông đã nhấn mạnh rằng Frida đã mất mát nhiều khi gắn bó với ông.
- Biztosítékok, igen, természetesen - mondta K. -, azokat legjobb lesz közjegyző előtt adni, de talán még másféle grófi hatóságok is bele fognak avatkozni a dologba.	- Sự bảo đảm, phải rồi, tất nhiên những cái đó tốt nhất là trao trước mặt ngài công chứng viên, nhưng có lẽ các nhà chức trách khác của bá tước cũng sẽ can thiệp vào việc đó.
Egyébként nekem is van még valami halaszthatatlan elintézendőm az esküvő előtt.	Hơn nữa tôi cũng có việc phải giải quyết, không thể trì hoãn được trước ngày cưới.
Beszélnem kell Klamm-mal.	Tôi phải nói chuyện với Klamm.
- Az lehetetlen - mondta Frida, kissé fölemelkedett, és K.-hoz simult.	- Điều đó không thể được, ý nghĩ gì mà kỳ vậy!
- Miféle gondolat!	- Frida nói, và hơi rướn lên nép vào người K.
- Pedig meg kell lennie - mondta K. - Ha én nem bírom elérni, neked kell kieszközölnöd.	- Thế mà phải làm đấy, - K. nói - Nếu anh không thành công, thì em phải cố gắng thực hiện bằng được.
- Nem tehetem, K., nem tehetem - mondta Frida.	- Em không thể làm việc đó, anh K., em không thể.
- Klamm soha nem fog szóba állni veled.	Klamm không bao giờ thèm bắt chuyện với anh.
Hogy is képzelheted, hogy Klamm szóba áll veled!	Làm sao anh có thể tưởng tượng ra rằng Klamm nói chuyện với anh!
- És veled szóba állna?	- Frida nói.
- kérdezte K.	- K. hỏi.
- Velem sem - mondta Frida.	- Với em cũng không, - Frida nói.
- Se veled, se velem; ez tiszta képtelenség.	- ông ta không nói chuyện với anh, với em cũng không.
Karját széttárva a kocsmárosné felé fordult.	Cô ta giang tay quay về phía bà chủ quán:
- Látja, kocsmárosné asszony, mit kíván!	- Đấy mẹnh ấy muốn gì?
- Furcsa ember maga, földmérő úr - mondta a kocsmárosné, és ijesztő volt, ahogy most ültében kihúzta magát, szétvetett lábbal, és hatalmas térde kidomborodott a vékony szoknya alól.	- Bà chủ quán nói, rồi trong tư thế ngồi bà ta doãi chân, ưỡn người: cái đầu gối to đoành lồi ra khỏi chiếc váy mỏng mảnh, trông bà thật khủng khiếp.
- Lehetetlent kíván. - Miért lehetetlen?	- Tại sao lại không thể được?
- kérdezte K.	- K. hỏi.
- Azt mindjárt megmagyarázom magának - mondta a kocsmárosné olyan hangon, mintha ez a magyarázat már nem utolsó szívessége, hanem első büntetése volna -, azt nagyon szívesen megmagyarázom magának.	- Tôi giải thích cho ông ngay đây, - bà chủ quán nói với giọng như thể sự giải thích này không phải là cử chỉ giúp đỡ cuối cùng, mà là sự trừng phạt đầu tiên của bà ta.
Maga például csak az ő hanyagságának köszönheti, mert akkor este már alig álltam a lábamon a fáradtságtól, hogy itt van a faluban, itt ül békén és kényelmesen ezen az ágyon.	Tỷ như ông chỉ có thể nhờ sự cẩu thả của anh ấy, tối hôm đó tôi mệt quá, thì ông mới được ở trong làng, và ngồi yên thoải mái trên giường, ở đây.
- Hogyan?	- Thế nào cơ?
- kérdezte K., fölocsúdva szórakozottságából, inkább kíváncsiságtól, mint haragtól ösztökélve.	- K. hỏi, chàng sực tỉnh khỏi sự lơ đễnh của mình vì tò mò hơn là giận dữ.
- Csak az ő hanyagságának köszönheti!	- Ông chỉ có thể nhờ sự cẩu thả của chồng tôi.
- kiáltotta újra a kocsmárosné, mutatóujjával K. felé döfve.	- Bà chủ quán kêu to lên, ngón tay trỏ chĩa về phía K.
Frida megpróbálta megnyugtatni.	Frida thử làm cho bà ta bình tĩnh.
- Mit akarsz?	- Cô muốn gì?
- mondta a kocsmárosné, és hirtelen egész testével feléje fordult.	- bà chủ quán hỏi, rồi toàn thân đột ngột quay về phía cô ta.
- A földmérő úr kérdezett, felelnem kell neki.	- Ngài đạc điền hỏi, tôi cần phải trả lời cho ông ta.
Egyébként hogyan érthetné meg, ami a mi számunkra természetes: hogy Klamm úr soha nem fog szóba állni vele; mit mondok: "fog"?, soha nem állhat szóba vele!	Mà làm sao ông ta có thể hiểu nổi điều đối với chúng ta là tất nhiên kia ch: Ngài Klamm sẽ không bao giờ thèm nói chuyện với ông ta. Tôi nói gì, "sẽ" ư?
Ide figyeljen, földmérő úr.	Hãy nghe đây, ông đạc điền.
Klamm úr kastélybeli úr, s ez már önmagában véve is igen magas rangot jelent, teljesen függetlenül Klamm egyéb rangjától.	Ngài Klamm là người thuộc về Lâu đài, chỉ riêng điều đó cũng đã chứng tỏ địa vị rất cao, không cần phụ thuộc vào các cấp bậc khác của ông ấy.
Mi ezzel szemben maga?	Ông là cái gì đối với ông ấy?
Maga, akinek a házassági beleegyezéséért oly alázatosan esedezünk itt?	Ông, người mà chúng tôi phải khẩn khoản van nài để ông đồng ý cưới vợ ở đây?
De mindezért, alapjában véve, nem teszek magának szemrehányást.	Nhưng tôi nói những điều này thực ra không phải để quở trách ông.
Most azonban gondolja meg, voltaképpen mit is kíván.	Nhưng bây giờ ông phải suy nghĩ xem thật ra ông muốn gì.
Olyan ember, mint Klamm, álljon szóba magával!	Một người như ngài Klamm mà phải bắt chuyện với ông!
Fájdalommal hallottam, hogy Frida hagyta, hogy belessen a kémlelőn; már amikor ezt megengedte, áldo­zatul esett a csábításának.	Tôi đau khổ được nghe rằng Frida đã để ông nhìn trộm qua lỗ nhòm, khi cho phép ông làm việc đó cô ta đã là nạn nhân của sự quyến rũ của ông.
De mondja, egyáltalán hogyan bírta elviselni Klamm látványát?	Ông nói đi, nói chung ông làm thế nào mà chịu được khi nhìn thấy Klamm?
Nem kell felelnie; tudom, nagyon jól elviselte.	Ông không cần phải trả lời, tôi biết là ông đã chịu đựng rất tốt.
Hiszen nem is képes rá, hogy Klammot igazában lássa, és ez nem túlzás részemről, mert hiszen én magam sem vagyok képes rá.	Bởi vì ông không thể thật sự nhìn thấy Klamm, và điều này về phần mình tôi cũng không nói quá, bởi vì chính tôi cũng không thể nhìn thấy ông ta thật sự.
Klamm álljon szóba magával, mikor még a falubeliekkel sem áll szóba, még soha nem állt szóba egyetlen falusival sem.	Làm sao Klamm nói chuyện với ông một khi Ngài không thèm nói chuyện với cả người làng này, Ngài chưa bao giờ nói chuyện với một người nào trong làng cả.
Frida számára nagy kitüntetés volt, kitüntetés, melyre életem végéig büszke leszek, hogy legalább Fridát a nevén szólította néha, és Frida kedvére szólhatott hozzá, és engedélyt kapott tőle a kémlelőlyukra, de szóba azért ővele sem állt.	Phần thưởng đối với cô Frida, một phần thưởng mà tôi sẽ tự hào suốt đời, là ít ra thỉnh thoảng Ngài đã gọi tên Frida, và Frida lúc nào cũng có thể nói chuyện với Ngài, được phép Ngài cho nhìn qua lỗ nhòm, nhưng tuy thế Ngài cũng không thèm nói chuyện với cô ấy.
S hogy néha szólította Fridát, annak egyáltalán nem kell olyasfajta jelentőséget tulajdonítani, aminőt szívesen tulajdonítanának, mert egyszerűen csak azt a nevet mondta, hogy "Frida", ki ismerheti szándékait?	Còn nếu thảng hoặc Ngài gọi Frida, thì nói chung, không cần phải cho việc đó có ý nghĩa như người ta sẵn sàng gán cho nó, bởi đơn giản là Ngài chỉ gọi cái tên "Frida", ai mà biết được những ý định của Ngài?
és Frida természetesen azonnal ugrott, mert hiszen ez volt a dolga; az meg, hogy ellenkezés nélkül beengedték hozzá, Klamm jóságán múlt; de hogy egyenesen őt hívta volna, azt nem lehet mondani.	Và Frida t nhiên là chạy tới ngay lập tức, và đó là việc của cô ta; còn người ta cho phép cô ấy vào với Ngài, thì việc đó là nhờ lòng tốt của Klamm chứ không thể nói là Ngài đã trực tiếp mời cô ấy.
De persze most már annak, ami volt, örökre vége.	Cố nhiên những gì đã có thì bây giờ kết thúc vĩnh viễn.
Klamm talán ezután is szólítani fogja még a "Frida" nevet, ez lehetséges, de bizonyos, hogy többé soha nem engedik be hozzá: egy lányt, aki magával állt össze!	Có thể Klamm rồi đây cũng vẫn còn gọi cái tên "Frida", nhưng chắc chắn Ngài không bao giờ cho cô ấy, một cô gái dan díu với ông, vào nữa!
És csak egyet nem értek ezzel az én szegény fejemmel: azt az egyet, hogyan engedhette egy lány, akiről azt mondták, Klamm kedvese, amit egyébként szerfölött túlzó minősítésnek tartok, hogyan engedhette, hogy maga akár csak hozzá is érjen.	Và cái đầu tội nghiệp của tôi không hiểu một điều rằng, một cô gái mà người ta vẫn bảo là người tình của Klamm, - điều mà tôi cho là nói quá, - làm sao lại có thể để ông động được đến mình.
- Ez valóban különös - mondta K., és ölébe vonta Fridát, aki, ha lehajtott fejjel is, engedel­me­sen hozzásimult -, viszont, úgy hiszem, azt bizonyítja, még sincs minden egészen olyasfor­mán, ahogyan maga gondolja.	- Điều này thật là đặc biệt, - K. nói và kéo Frida vào lòng, cô ta nép vào người chàng, đầu vẫn cúi xuống, - nhưng tôi nghĩ nó chứng minh rằng chưa phải tất cả đều hoàn toàn như bà nghĩ.
Abban például kétségkívül igaza van, mikor azt mondja, Klammhoz képest senki vagyok: s ha én ezek után is beszélni óhajtok Klamm-mal, és ettől még felvilágosításai sem térítenek el, ezzel még egyáltalán nem azt mondom, hogy képes lennék Klamm látványát közbeeső ajtó nélkül elviselni, és nem rohannék ki már puszta megjelenésére a szobából.	Ví dụ khi bà nói so với Klamm thì tôi là một kẻ vô danh tiểu tốt, điều đó quả là đúng, không phải nghi ngờ gì nữa. Và nếu như sau những chuyện này tôi vẫn cứ muốn nói chuyện với Klamm bất chấp sự giảng giải của bà thì việc đó không có nghĩa là tôi có thể chịu đựng nổi Klamm khi không còn có tấm cửa chắn ngang, và hoàn toàn rất có thể là tôi bỏ chạy ra khỏi căn phòng khi ông ta xuất hiện.
Ám az ilyen, bármily jogos félelem még korántsem elég ok szá­mom­ra ahhoz, hogy meg se kíséreljem a dolgot.	Nhưng nỗi lo sợ này, cho dù chính đáng bao nhiêu đi nữa, thì cũng không đủ lý do đối với tôi, để tôi không thể nghiệm việc đó.
Hát maga, kocsmárosné asszony, a nagy élettapasztalatával és emberismeretével, meg Frida, aki tegnap még Klamm kedvese volt (semmi okát nem látom, miért kellene eltérnünk ettől a kifejezéstől), maguk bizonyára könnyen alkalmat szerezhetnek nekem arra, hogy Klamm-mal beszéljek, ha egyéb lehetőség nincs, akkor az Udvarházban, hiszen lehet, hogy még ma is ott időzik.	Còn bà, thưa bà chủ quán, với kinh nghiệm sống phong phú và sự am hiểu con người, cùng Frida, người mà mới hôm qua còn là người tình của Klamm (tôi không thấy có lý do gì để chúng ta tránh diễn đạt như thế), hai người chắc chắn dễ dàng tìm được dịp để tôi nói chuyện với Klamm. Nếu không có khả năng nào khác thì chúng ta đến quán "Ông chủ", bởi vì có thể bây giờ Ngài vẫn ở đó.
- Lehetetlen - mondta a kocsmárosné -, és látom, nincs is képessége rá, hogy ezt fölfogja. De mondja, miről akar beszélni Klamm-mal?	- Không thể được, - bà chủ quán nói, - tôi thấy ông không có khả năng để y. Nhưng ông nói đi, ông muốn nói chuyện gì với Klamm
- Természetesen Fridáról - mondta K.	- Tất nhiên là nói về Frida, - K. nói!
- Fridáról?	- Nói về Frida?
- kérdezte a kocsmárosné értetlenül, és Fridához fordult.	- Bà chủ quán ngơ ngác hỏi và quay sang Frida: - Cô nghe thấy không, Frida?
- Ej, maga, kocsmárosné asszony - mondta K. -, olyan bölcs, tiszteletet parancsoló asszony, mégis minden semmiségtől megijed.	- Này, bà chủ quán ạ, - K nói, - bà là một người thông minh, đáng kính thế mà lại hoảng sợ trước những điều không đâu.
Nos, Fridáról akarok beszélni vele, és ez egyáltalán nem olyan borzalmas, inkább természetes.	Tôi muốn nói chuyện với Klamm về Frida, việc đó nói chung không có gì là ghê gớm mà là tất nhiên.
